variant,domain,runs,best_val_acc_mean,best_val_acc_std,best_val_acc_ci95,best_val_precision_mean,best_val_precision_std,best_val_precision_ci95,best_val_recall_mean,best_val_recall_std,best_val_recall_ci95,best_val_f1_mean,best_val_f1_std,best_val_f1_ci95,best_val_correct_mean,best_val_correct_std,best_val_correct_ci95,best_val_total_mean,best_val_total_std,best_val_total_ci95,best_val_errors_mean,best_val_errors_std,best_val_errors_ci95,best_val_acc_wilson_low_mean,best_val_acc_wilson_low_std,best_val_acc_wilson_low_ci95,best_val_acc_wilson_high_mean,best_val_acc_wilson_high_std,best_val_acc_wilson_high_ci95,best_train_full_acc_mean,best_train_full_acc_std,best_train_full_acc_ci95,generalization_gap_mean,generalization_gap_std,generalization_gap_ci95
full,逆光,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.9059390425448564,0.0,0.0,1.0,0.0,0.0,,,,,,
full,雨天,3,0.9871794871794872,0.02220577958421636,0.02512820512820511,0.9814814814814814,0.03207501495497929,0.03629629629629639,0.9930555555555556,0.012028130608117225,0.013611111111111136,0.9851851851851852,0.02566001196398334,0.029037037037037007,25.666666666666668,0.5773502691896257,0.6533333333333333,26.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.8512007141570576,0.03475575072734613,0.03932983439510881,0.9977260636743367,0.0039385732492252705,0.004456915198300007,0.9895833333333334,0.0,0.0,-0.01041666666666663,0.0,0.0
full,雾天,3,0.9722222222222222,0.004373865675678979,0.004949494949494946,0.9715248948582281,0.006076267091483117,0.0068759435042342505,0.9661986161986162,0.011209296622738422,0.012684513228226208,0.9672102834142113,0.008322284370619434,0.009417551318433501,128.33333333333334,0.5773502691896257,0.6533333333333333,132.0,0.0,0.0,3.6666666666666665,0.5773502691896257,0.6533333333333333,0.92821908578585,0.006140700432591043,0.006948856693627808,0.9895164728844444,0.002359645105000243,0.002670189803665191,,,,,,
full,黑天,3,0.986111111111111,0.004811252243246928,0.005444444444444498,0.9823933782267116,0.002794414181683746,0.0031621773288439403,0.9866038433111604,0.0017602142353342265,0.001991869918699189,0.9840511030238493,0.001183960944354921,0.0013397779330693016,118.33333333333333,0.5773502691896257,0.6533333333333333,120.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.6533333333333333,0.9456094436666167,0.007528480909225912,0.008519278139879858,0.9964541816956741,0.0017955308798601297,0.0020318344641780416,,,,,,
