epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.824244658152263,5.898317337036133,3.37038524945577,3.3705762227376304,-0.24690905958414078,0.0,0.0,17.729917526245117,0.0,1.0,0.0,0.0,0.0,0.0,0.04583333333333333,0.08333333333333333,0.04583333333333333,0.075,0.08333333333333333,0.0,0.0,0.0,0.0,0.887557864189148,1.5665876468022664,0.3545827269554138,0.2702501614888509,2.1603592236836753,2.1899433930714927,6.581909656524658,0.0,0.0,0.0,0.0,0.0,2.6784658432006836,0.1891891891891892,0.0707070707070707,0.19444444444444445,0.0997150997150997,0.1891891891891892,0.1891891891891892,0.18918918918918917,2.657402992248535,0.13513513513513514,0.05291005291005291,0.12121212121212122,0.06154568945266619,-0.04621212121212122,0.0997150997150997,7e-05,3.5e-05,0.5,18.95948028564453,24.421875,3.2015881538391113,0.48853373527526855,0.5012941360473633,0.6847395896911621,4.876485586166382
2,5.294760704040527,5.311989466349284,3.1264195442199707,2.9140931765238443,-0.057428975900014244,0.0,0.0,16.384931246439617,0.0,1.0,0.0,0.0,0.0,0.0,0.1125,0.10833333333333334,0.1125,0.11666666666666667,0.10416666666666667,0.0,0.0,0.0,0.0,0.99405970176061,1.7525383631388347,0.3544633686542511,0.2702249089876811,2.112382411956787,2.177963654200236,6.124301910400391,0.0,0.0,0.0,0.0,0.0,2.5595223903656006,0.16216216216216217,0.06888888888888889,0.16666666666666666,0.0896551724137931,0.16216216216216217,0.16216216216216217,0.16216216216216217,,,,,,,0.0896551724137931,7e-05,3.5e-05,0.5,18.957862854003906,24.421875,3.104808807373047,0.4893491268157959,0.0,0.0,3.5945074558258057
3,4.786125818888347,4.757740020751953,2.772270917892456,2.647292216618856,0.09461891154448192,0.0,0.0,13.848745981852213,0.0,1.0,0.0,0.0,0.0,0.0,0.175,0.15833333333333333,0.175,0.20833333333333334,0.225,0.0,0.0,0.0,0.0,0.8755694627761841,1.7109272877375286,0.35204559564590454,0.26925693949063617,2.1519507567087808,2.172503391901652,5.3131974538167315,0.0,0.0,0.0,0.0,0.0,2.440581798553467,0.16216216216216217,0.12930756843800323,0.16666666666666666,0.11419753086419752,0.16216216216216217,0.16216216216216217,0.16216216216216217,2.4127089977264404,0.2702702702702703,0.19413919413919414,,,,0.11419753086419752,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.1428678035736084,0.49033021926879883,0.49289751052856445,0.0,3.126392126083374
4,4.340389569600423,4.311033884684245,2.496878465016683,2.4188740253448486,0.09785217419266701,0.0,0.0,13.222107887268066,0.0,1.0,0.0,0.0,0.0,0.0,0.2708333333333333,0.25833333333333336,0.2708333333333333,0.24166666666666667,0.22916666666666666,0.0,0.0,0.0,0.0,0.9020320773124695,1.5016950766245525,0.35034874081611633,0.26768553256988525,2.070812145868937,2.154434601465861,5.03505293528239,0.0,0.0,0.0,0.0,0.0,2.3237900733947754,0.16216216216216217,0.09806397306397306,0.16666666666666666,0.11554103122730575,0.16216216216216217,0.16216216216216217,0.16216216216216217,2.2911038398742676,0.2702702702702703,0.21937321937321938,,,,0.11554103122730575,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.49019718170166,0.49049806594848633,0.49953651428222656,0.0,3.4805240631103516
5,4.344309329986572,4.056950807571411,2.327422300974528,2.306037982304891,0.039223119616508484,0.27559147278467816,0.0,12.440762519836426,0.0,1.0,0.0,0.0,0.0,0.1,0.2833333333333333,0.2916666666666667,0.2833333333333333,0.3,0.2916666666666667,0.0,0.0,0.0,0.27559147278467816,0.865074614683787,1.5588342348734539,0.34877825776735943,0.26765666405359906,2.048558553059896,2.1342265605926514,4.713800112406413,0.011160904541611671,0.0013382832985371351,0.00819423453261455,0.019208038225769997,0.23569000760714212,2.151580572128296,0.2972972972972973,0.20858585858585857,0.2777777777777778,0.20634920634920634,0.2972972972972973,0.2972972972972973,0.2972972972972973,2.1149697303771973,0.2702702702702703,0.17768959435626103,0.24242424242424243,0.21356651657609252,0.05757575757575756,0.20634920634920634,7e-05,3.5e-05,0.5,18.956031799316406,24.421875,2.575201988220215,0.4902660846710205,0.4822216033935547,0.6836373805999756,4.231651544570923
6,4.387440999348958,3.871188004811605,2.273994048436483,2.129591941833496,-0.04241485148668289,0.5289773742357889,0.9131958484649658,11.940531412760416,2.0326926708221436,1.0,0.0,1.0,0.05,0.2,0.3541666666666667,0.325,0.3541666666666667,0.325,0.325,0.9131958484649658,0.9012342691421509,0.9251574873924255,0.5289773742357889,0.897487998008728,1.614330808321635,0.34952261050542194,0.2665930887063344,2.0476401646931968,2.1099143028259277,4.451867421468099,0.022369448095560074,0.002665930815661947,0.016381122171878815,0.03797845666607221,0.4451867441336314,1.9032502174377441,0.35135135135135137,0.35834535834535836,0.31481481481481477,0.24409171075837743,0.35135135135135137,0.35135135135135137,0.35135135135135137,1.8577167987823486,0.4594594594594595,0.3703703703703704,,,,0.24409171075837743,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.0759246349334717,0.48975205421447754,0.5020222663879395,0.0,4.068042755126953
7,4.3068366050720215,3.5536001523335776,2.0811055103937783,1.963326136271159,-0.015169392029444376,0.7577871878941854,0.8463805913925171,11.607064565022787,1.8912805318832397,1.0,0.0,1.0,0.1,0.3,0.35833333333333334,0.3333333333333333,0.35833333333333334,0.45,0.3458333333333333,0.8463805913925171,0.7632161378860474,0.9295451045036316,0.7577871878941854,0.9154211084047953,1.5996462106704712,0.3464186688264211,0.26517122983932495,2.018258253733317,2.082064946492513,4.2087721824646,0.033256193002065025,0.003977568199237187,0.024219098811348278,0.05621575564146042,0.6313158472379049,1.7031121253967285,0.4594594594594595,0.5747474747474748,0.5092592592592592,0.49409171075837743,0.4594594594594595,0.4594594594594595,0.4594594594594595,1.6598697900772095,0.5405405405405406,0.5529966329966329,,,,0.49409171075837743,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.7138116359710693,0.4913468360900879,0.5001840591430664,0.0,3.705697536468506
8,4.588844617207845,3.599325656890869,2.18158229192098,1.8903244336446126,0.07244496171673138,0.9677854180335999,0.8409137725830078,11.712444305419922,1.7978702783584595,1.0,0.0,1.0,0.15,0.4,0.42916666666666664,0.3375,0.42916666666666664,0.4375,0.3416666666666667,0.8409137725830078,0.7951755523681641,0.8866519331932068,0.9677854180335999,0.85466996828715,1.591798981030782,0.3429091274738312,0.2642337381839752,2.0041107734044394,2.068206787109375,3.99621589978536,0.043892369916041694,0.00528467462087671,0.03206577400366465,0.07445544252792995,0.7992431918780009,1.4874005317687988,0.6486486486486487,0.8042328042328042,0.7407407407407407,0.7356600189933524,0.6486486486486487,0.6486486486486487,0.6486486486486487,1.4918041229248047,0.6756756756756757,0.7434642517975852,,,,0.7356600189933524,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,3.010061740875244,0.4919466972351074,0.503791332244873,0.0,4.006103038787842
9,4.600340048472087,3.3867361545562744,2.025218963623047,1.815356175104777,0.09299046794573466,1.1857066949208577,0.8026376366615295,11.522120157877604,1.7587400674819946,1.0,0.0,1.0,0.2,0.5,0.475,0.4083333333333333,0.475,0.43333333333333335,0.39166666666666666,0.8026376366615295,0.7598452568054199,0.8454300165176392,1.1857066949208577,0.9254156351089478,1.5416168371836345,0.3409997820854187,0.263163685798645,1.9960538546244304,2.050140937169393,3.9004839261372886,0.05455996344486872,0.006579092238098383,0.039921075105667114,0.09225634733835857,0.9751209815343221,1.279760718345642,0.7567567567567568,0.8496913580246913,0.8148148148148148,0.8119929453262787,0.7567567567567568,0.7567567567567568,0.7567567567567567,1.2989730834960938,0.7567567567567568,0.8113799054975526,,,,0.8119929453262787,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.54879093170166,0.487713098526001,0.49413490295410156,0.0,3.5309524536132812
10,4.683560689290364,3.2971812884012857,1.9647910992304485,1.7765201330184937,0.1578132708867391,1.339035431543986,0.7952742576599121,11.83955160776774,1.6514843702316284,1.0,0.0,1.0,0.25,0.6,0.475,0.45,0.475,0.5041666666666667,0.48333333333333334,0.7952742576599121,0.7801233530044556,0.8104251027107239,1.339035431543986,0.9591019948323568,1.632729172706604,0.33723251024882,0.2613498369852702,1.898267348607381,2.00512433052063,3.633108615875244,0.06474864234526952,0.007840494935711225,0.04555841783682505,0.10827671736478806,1.089932640393575,1.1103527545928955,0.8918918918918919,0.9166666666666666,0.925925925925926,0.9145021645021644,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.1351100206375122,0.8108108108108109,0.8486772486772487,0.8636363636363636,0.8627018500335514,-0.359469696969697,0.9145021645021644,7e-05,3.5e-05,0.5,18.956970691680908,24.421875,2.2893290519714355,0.4894731044769287,0.4967505931854248,0.6863458156585693,3.9622111320495605
