2026-08-30 19:52:55 | Epoch 012/060 | loss 3.0976 | cls 2.8406 | tal -0.1424 | dual_g 0.2997 | dual_d 0.8508 | train_acc 0.5417 | train_full n/a | val_acc 0.8919 | val_f1 0.9167 | adv/moduleC 0.20/0.43 | disc_steps 4 | grad(main/disc) 22.019/2.124 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 19:52:56 | Epoch 013/060 | loss 2.9673 | cls 2.6483 | tal -0.0502 | dual_g 0.3340 | dual_d 0.8023 | train_acc 0.6389 | train_full n/a | val_acc 0.8919 | val_f1 0.9079 | adv/moduleC 0.25/0.50 | disc_steps 4 | grad(main/disc) 18.282/2.045 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.4s
2026-08-30 19:52:58 | Epoch 014/060 | loss 2.9917 | cls 2.6176 | tal -0.0252 | dual_g 0.3816 | dual_d 0.8712 | train_acc 0.6181 | train_full n/a | val_acc 0.8649 | val_f1 0.8794 | adv/moduleC 0.30/0.57 | disc_steps 4 | grad(main/disc) 18.736/2.139 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
2026-08-30 19:53:00 | Epoch 015/060 | loss 2.7373 | cls 2.3565 | tal -0.0992 | dual_g 0.4105 | dual_d 0.8119 | train_acc 0.7361 | train_full 0.9015 | val_acc 0.9189 | val_f1 0.9396 | adv/moduleC 0.35/0.64 | disc_steps 4 | grad(main/disc) 16.989/2.047 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.4s | 2.2s
2026-08-30 19:53:01 | Epoch 016/060 | loss 2.9749 | cls 2.5300 | tal -0.0568 | dual_g 0.4620 | dual_d 0.7816 | train_acc 0.6875 | train_full n/a | val_acc 0.8919 | val_f1 0.9156 | adv/moduleC 0.40/0.71 | disc_steps 4 | grad(main/disc) 18.675/2.055 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 19:53:03 | Epoch 017/060 | loss 2.8285 | cls 2.3575 | tal -0.0327 | dual_g 0.4807 | dual_d 0.7925 | train_acc 0.7639 | train_full n/a | val_acc 0.9189 | val_f1 0.9396 | adv/moduleC 0.45/0.79 | disc_steps 4 | grad(main/disc) 17.705/2.037 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.3/0.4/0.0/0.0s | 1.7s
2026-08-30 19:53:04 | Epoch 018/060 | loss 2.7714 | cls 2.2923 | tal -0.1023 | dual_g 0.5098 | dual_d 0.7848 | train_acc 0.7569 | train_full n/a | val_acc 0.9189 | val_f1 0.9396 | adv/moduleC 0.50/0.86 | disc_steps 4 | grad(main/disc) 17.682/1.972 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 19:53:06 | Epoch 019/060 | loss 2.7239 | cls 2.2150 | tal -0.0802 | dual_g 0.5330 | dual_d 0.8137 | train_acc 0.6667 | train_full n/a | val_acc 0.9189 | val_f1 0.9371 | adv/moduleC 0.55/0.93 | disc_steps 4 | grad(main/disc) 17.927/1.975 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.4/0.4/0.0/0.0s | 1.8s
2026-08-30 19:53:09 | Epoch 020/060 | loss 2.7571 | cls 2.2003 | tal -0.1291 | dual_g 0.5955 | dual_d 0.7770 | train_acc 0.7569 | train_full 0.9545 | val_acc 0.9459 | val_f1 0.9616 | adv/moduleC 0.60/1.00 | disc_steps 4 | grad(main/disc) 19.146/1.985 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.4/0.4s | 2.3s
2026-08-30 19:53:10 | Epoch 021/060 | loss 2.5632 | cls 2.0800 | tal -0.2054 | dual_g 0.5448 | dual_d 0.8249 | train_acc 0.7708 | train_full n/a | val_acc 0.9459 | val_f1 0.9616 | adv/moduleC 0.65/1.00 | disc_steps 4 | grad(main/disc) 17.360/2.054 | lr(main/disc) 6.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
