epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,lr_main,epoch_seconds
1,9.929726464407784,4.3390003102166315,2.244390215192522,2.0946100439344133,0.311909835253443,5.497153077806745,0.5324056957449231,0.38169642857142855,0.33705357142857145,0.38169642857142855,0.328125,0.30357142857142855,0.5324056957449231,0.5835650265216827,0.48124636496816364,5.497153077806745,1.8915109166077204,3.036278350012643,0.5706283109528678,0.446729587657111,3.4341906820024763,4.353304488318307,3.4917864203453064,0.025,0.003205128205128205,0.125,0.00625,0.025,0.025,0.025000000000000005,0.0005,9.676464557647705
2,6.849362986428397,2.864726253918239,1.548653849533626,1.3160723788397652,0.18826548914824212,3.9281571252005443,0.6097366298948016,0.6629464285714286,0.5758928571428571,0.6629464285714286,0.6919642857142857,0.5915178571428571,0.6097366298948016,0.6021822052342551,0.6172910588128226,3.9281571252005443,2.080739753586905,1.9413849583693914,0.466178223490715,0.4439668357372284,3.280539342335292,2.9426032985959734,2.3113425076007843,0.3,0.3861257277205553,0.33275365717704,0.2760743990188404,0.3,0.3,0.3,0.0005,7.881029844284058
3,5.839760780334473,2.4686944825308665,1.3274765866143363,1.141217929976327,0.19045348784753255,3.313930256026132,1.0640159249305725,0.7589285714285714,0.6919642857142857,0.7589285714285714,0.75,0.6383928571428571,1.0640159249305725,0.8597952468054635,1.2682366030556815,3.313930256026132,1.0091108594621931,0.8586960775511605,0.4257970941918237,0.465057658297675,3.2100108521325246,2.5699970041002547,1.6611323356628418,0.6166666666666667,0.5990323029796714,0.6254478002555944,0.5229672006102212,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.0005,7.425007343292236
4,4.965921912874494,2.079185656138829,1.1254792724336897,0.9537063411303929,-0.07246933238846916,2.9084769998277937,0.936018569128854,0.84375,0.7946428571428571,0.84375,0.8459821428571429,0.7700892857142857,0.936018569128854,0.8322423015322004,1.0397948282105582,2.9084769998277937,1.1568836952958788,1.3555884999888284,0.41834166646003723,0.47357408489499775,3.116594433784485,2.112720787525177,1.5293428599834442,0.675,0.6800722425722425,0.7233767028305734,0.6421797622122519,0.675,0.675,0.675,0.0005,7.671087265014648
5,4.63697794505528,2.002965646130698,1.0532861948013306,0.949679468359266,-0.1897426907505308,2.690935117857797,1.0743045721735274,0.8638392857142857,0.8147321428571429,0.8638392857142857,0.8683035714285714,0.8035714285714286,1.0743045721735274,1.0507293769291468,1.0978797589029585,2.690935117857797,0.6087552947657449,0.7302806632859367,0.38440726910318646,0.47280230479581015,3.079566785267421,2.033231088093349,1.4946732968091965,0.675,0.7341507177033493,0.7084704465735748,0.6253416594889465,0.675,0.675,0.675,0.0005,7.450422763824463
6,4.476564271109445,1.9103133167539323,1.0384743639401026,0.8718389655862536,-0.23186397020305907,2.6358101197651456,0.7416587557111468,0.890625,0.8035714285714286,0.890625,0.8973214285714286,0.8258928571428571,0.7416587557111468,0.7382987056459699,0.7450187887464251,2.6358101197651456,0.9893792058740344,1.0076434697423662,0.3422471455165318,0.4644727132150105,3.028713038989476,1.9388892820903234,1.2630897760391235,0.7166666666666667,0.7507624601564764,0.7194296568136705,0.6628403423799843,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.0005,7.910852670669556
7,4.433784706251962,1.8882420744214738,1.0090853018420083,0.879156768321991,-0.2152428584439414,2.6101154599870955,0.7720535397529602,0.8995535714285714,0.8102678571428571,0.8995535714285714,0.8794642857142857,0.828125,0.7720535397529602,0.7337515694754464,0.8103554930005755,2.6101154599870955,1.0056573365415846,0.9237262095723834,0.32839784239019665,0.4529855932508196,2.984882661274501,1.9318406241280692,1.6008117645978928,0.625,0.7493995405179615,0.6822491036270198,0.5607557240017564,0.625,0.625,0.625,0.0005,7.31778359413147
8,4.289276582854135,1.8433642813137598,1.0027667539460319,0.8405975273677281,-0.14108192761029517,2.4882368871143887,0.7457578778266907,0.8950892857142857,0.8258928571428571,0.8950892857142857,0.90625,0.8459821428571429,0.7457578778266907,0.7271035058157784,0.7644122583525521,2.4882368871143887,0.87989655988557,0.7682577158723559,0.3085794023105076,0.44028949098927633,2.9672419854572842,1.8503930909293038,1.3873562514781952,0.7166666666666667,0.7516892829392829,0.7414275257263062,0.6720683728036669,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.0005,8.154462575912476
9,4.064511316163199,1.7294889092445374,0.9163779360907418,0.8131109731537955,-0.15372209224317754,2.381139005933489,0.8174376402582441,0.8995535714285714,0.8816964285714286,0.8995535714285714,0.9084821428571429,0.8794642857142857,0.8174376402582441,0.7931823049272809,0.8416929755892072,2.381139005933489,0.8280930178506034,0.7235047817230225,0.2826817184686661,0.42583549661295755,2.9271913255964006,1.7706274219921656,1.3911373913288116,0.6333333333333333,0.6588541666666667,0.7474994021090257,0.6004093525975678,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.0005,7.813011646270752
10,3.804439289229257,1.6382849557059151,0.8620772617203849,0.7762077237878527,-0.11299109804843153,2.2000516738210405,0.8235389590263367,0.9330357142857143,0.8928571428571429,0.9330357142857143,0.9441964285714286,0.8794642857142857,0.8235389590263367,0.8085051945277623,0.8385727064950126,2.2000516738210405,0.635971588747842,0.636128945010049,0.2638633442776544,0.4121723494359425,2.894431931631906,1.6308581233024597,1.673993706703186,0.5666666666666667,0.7397071307300509,0.6757784401441611,0.5534538533195967,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.0005,7.441596269607544
