run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_val_correct,best_val_total,best_val_errors,best_val_acc_wilson_low,best_val_acc_wilson_high,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_generator_total,best_train_acc_target_like,best_train_dual_d_adv_primary,best_train_dual_d_adv_auxiliary,best_train_dual_d_prototype_contrastive,best_train_dual_d_identity,best_train_dual_d_cycle,best_train_acc_source_like,best_train_dual_d_classification_feedback,best_train_dual_d_contrastive
runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801,module_c_full_逆光_20260830_202801/metrics_iter01,full,逆光,1,45,runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801/metrics_iter01.csv,60,53.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,36.0,37.0,1.0,0.8617562156243666,0.9952131489450924,,,runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801/feature_embeddings_iter01.npz,runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801/result_summary_iter01.json,0.5165995094511244,0.8680555555555556,0.7235303388701545,0.6563430296050178,1.312602334552341,0.20790927112102509,0.22928602165646023,0.9097222222222222,2.3113730218675403,1.144448200861613
runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801,module_c_full_逆光_20260830_202801/metrics_iter02,full,逆光,2,46,runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801/metrics_iter02.csv,60,58.0,1.0,1.0,1.0,1.0,37.0,37.0,0.0,0.9059390425448564,1.0,,,runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801/feature_embeddings_iter02.npz,runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801/result_summary_iter02.json,0.5180118746227689,0.8958333333333334,0.5571681989563836,0.8629981610510085,1.268267273902893,0.22001291977034676,0.23222973114914364,0.9375,2.3301470279693604,1.1210831602414448
runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801,module_c_full_逆光_20260830_202801/metrics_iter03,full,逆光,3,47,runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801/metrics_iter03.csv,60,60.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,36.0,37.0,1.0,0.8617562156243666,0.9952131489450924,1.0,0.027027027027026973,runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801/feature_embeddings_iter03.npz,runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801/result_summary_iter03.json,0.48120134737756515,0.9097222222222222,0.5618998408317566,0.52780591779285,1.1289243499437969,0.21271483931276533,0.22865421242184109,0.9305555555555556,2.2160101201799183,1.000088267856174
