"version","weather","variant","iter","best_acc","best_f1","best_acc_epoch","best_f1_epoch","epochs","train_acc","val_acc","val_f1","path"
"v7","雨天","module_c_no_module_c","01","1","1","28","28","52","1","0.961538","0.962963","D:\Code\Dual_D\runs\module_c_ablation_60_v7\module_c_20260829_145907\module_c_no_module_c_雨天_20260829_190447\result_summary_iter01.json"
"v7","雨天","module_c_no_module_c","02","1","1","25","25","50","1","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v7\module_c_20260829_145907\module_c_no_module_c_雨天_20260829_190447\result_summary_iter02.json"
"v7","雨天","module_c_no_module_c","03","1","1","17","17","50","0.997283","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v7\module_c_20260829_145907\module_c_no_module_c_雨天_20260829_190447\result_summary_iter03.json"
"v7","雨天","module_c_no_paired_contrastive","01","1","1","24","24","59","1","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v7\module_c_20260829_145907\module_c_no_paired_contrastive_雨天_20260829_170127\result_summary_iter01.json"
"v7","雨天","module_c_no_paired_contrastive","02","1","1","25","25","50","1","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v7\module_c_20260829_145907\module_c_no_paired_contrastive_雨天_20260829_170127\result_summary_iter02.json"
"v7","雨天","module_c_no_paired_contrastive","03","1","1","23","23","50","0.991848","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v7\module_c_20260829_145907\module_c_no_paired_contrastive_雨天_20260829_170127\result_summary_iter03.json"
"v7","雨天","module_c_no_prototype_contrastive","01","1","1","21","21","50","1","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v7\module_c_20260829_145907\module_c_no_prototype_contrastive_雨天_20260829_174252\result_summary_iter01.json"
"v7","雨天","module_c_no_prototype_contrastive","02","1","1","22","22","50","0.997283","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v7\module_c_20260829_145907\module_c_no_prototype_contrastive_雨天_20260829_174252\result_summary_iter02.json"
"v7","雨天","module_c_no_prototype_contrastive","03","1","1","18","18","52","1","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v7\module_c_20260829_145907\module_c_no_prototype_contrastive_雨天_20260829_174252\result_summary_iter03.json"
"v8","黑天","module_c_full","01","0.983333","0.968557","48","36","51","0.985507","0.966667","0.968557","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_full_黑天_20260829_205332\result_summary_iter01.json"
"v8","黑天","module_c_full","02","0.95","0.947832","58","60","60","0.998188","0.95","0.947832","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_full_黑天_20260829_205332\result_summary_iter02.json"
"v8","黑天","module_c_full","03","0.983333","0.971383","41","41","56","1","0.983333","0.971383","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_full_黑天_20260829_205332\result_summary_iter03.json"
"v8","黑天","module_c_no_cycle","01","0.975","0.96427","36","36","51","0.994565","0.975","0.96427","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_cycle_黑天_20260829_213218\result_summary_iter01.json"
"v8","黑天","module_c_no_cycle","02","0.95","0.947832","48","49","60","0.996377","0.95","0.947832","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_cycle_黑天_20260829_213218\result_summary_iter02.json"
"v8","黑天","module_c_no_cycle","03","0.983333","0.971383","48","48","60","0.996377","0.983333","0.971383","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_cycle_黑天_20260829_213218\result_summary_iter03.json"
"v8","黑天","module_c_no_identity","01","0.983333","0.971383","46","59","60","1","0.983333","0.971383","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_identity_黑天_20260829_221218\result_summary_iter01.json"
"v8","黑天","module_c_no_identity","02","0.95","0.926938","36","36","51","0.994565","0.95","0.926938","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_identity_黑天_20260829_221218\result_summary_iter02.json"
"v8","黑天","module_c_no_identity","03","0.983333","0.971383","34","34","49","0.996377","0.983333","0.971383","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_identity_黑天_20260829_221218\result_summary_iter03.json"
