2026-08-30 23:49:48 | Epoch 012/060 | loss 3.0469 | cls 3.0426 | tal -0.1848 | dual_g 0.0598 | dual_d 0.9275 | train_acc 0.6562 | train_full n/a | val_acc 0.5385 | val_f1 0.5197 | adv/moduleC 0.20/0.58 | disc_steps 3 | grad(main/disc) 20.699/2.332 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-30 23:49:50 | Epoch 013/060 | loss 2.7768 | cls 2.7390 | tal -0.1021 | dual_g 0.0684 | dual_d 0.9021 | train_acc 0.6562 | train_full n/a | val_acc 0.6154 | val_f1 0.6137 | adv/moduleC 0.25/0.67 | disc_steps 3 | grad(main/disc) 18.866/2.230 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
2026-08-30 23:49:51 | Epoch 014/060 | loss 2.8720 | cls 2.8250 | tal -0.0904 | dual_g 0.0741 | dual_d 0.8687 | train_acc 0.6979 | train_full n/a | val_acc 0.5000 | val_f1 0.4941 | adv/moduleC 0.30/0.75 | disc_steps 3 | grad(main/disc) 19.485/2.291 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.0s
2026-08-30 23:49:53 | Epoch 015/060 | loss 2.9499 | cls 2.9059 | tal -0.1330 | dual_g 0.0839 | dual_d 0.8957 | train_acc 0.6562 | train_full 0.7604 | val_acc 0.6923 | val_f1 0.6859 | adv/moduleC 0.35/0.83 | disc_steps 3 | grad(main/disc) 20.628/2.293 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.4s | 2.2s
2026-08-30 23:49:54 | Epoch 016/060 | loss 2.3806 | cls 2.3435 | tal -0.1851 | dual_g 0.0926 | dual_d 0.8641 | train_acc 0.8542 | train_full n/a | val_acc 0.5769 | val_f1 0.5846 | adv/moduleC 0.40/0.92 | disc_steps 3 | grad(main/disc) 15.767/2.270 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-30 23:49:55 | Epoch 017/060 | loss 2.2827 | cls 2.2594 | tal -0.2423 | dual_g 0.0959 | dual_d 0.8485 | train_acc 0.8229 | train_full n/a | val_acc 0.6154 | val_f1 0.6291 | adv/moduleC 0.45/1.00 | disc_steps 3 | grad(main/disc) 14.756/2.067 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.6/0.4/0.0/0.0s | 1.0s
2026-08-30 23:49:56 | Epoch 018/060 | loss 2.3484 | cls 2.3249 | tal -0.2445 | dual_g 0.0968 | dual_d 0.9198 | train_acc 0.8229 | train_full n/a | val_acc 0.8077 | val_f1 0.8267 | adv/moduleC 0.50/1.00 | disc_steps 3 | grad(main/disc) 16.430/2.204 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
2026-08-30 23:49:58 | Epoch 019/060 | loss 2.3809 | cls 2.3680 | tal -0.2852 | dual_g 0.0985 | dual_d 0.9801 | train_acc 0.7917 | train_full n/a | val_acc 0.6538 | val_f1 0.6786 | adv/moduleC 0.55/1.00 | disc_steps 3 | grad(main/disc) 17.321/2.132 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
2026-08-30 23:50:00 | Epoch 020/060 | loss 2.4365 | cls 2.3982 | tal -0.1901 | dual_g 0.0953 | dual_d 0.8895 | train_acc 0.8229 | train_full 0.7708 | val_acc 0.7692 | val_f1 0.7929 | adv/moduleC 0.60/1.00 | disc_steps 3 | grad(main/disc) 19.235/2.147 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.4/0.4s | 2.1s
2026-08-30 23:50:01 | Epoch 021/060 | loss 2.2348 | cls 2.2001 | tal -0.2097 | dual_g 0.0976 | dual_d 0.8291 | train_acc 0.8333 | train_full n/a | val_acc 0.6154 | val_f1 0.6284 | adv/moduleC 0.65/1.00 | disc_steps 3 | grad(main/disc) 16.434/1.972 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
