2026-08-30 23:51:09 | Epoch 012/060 | loss 3.0431 | cls 2.9442 | tal 0.1328 | dual_g 0.0590 | dual_d 0.9112 | train_acc 0.7188 | train_full n/a | val_acc 0.5000 | val_f1 0.5264 | adv/moduleC 0.20/0.58 | disc_steps 3 | grad(main/disc) 19.942/2.156 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
2026-08-30 23:51:10 | Epoch 013/060 | loss 2.7734 | cls 2.6628 | tal 0.1502 | dual_g 0.0655 | dual_d 1.0443 | train_acc 0.6667 | train_full n/a | val_acc 0.5769 | val_f1 0.6095 | adv/moduleC 0.25/0.67 | disc_steps 3 | grad(main/disc) 19.127/2.372 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-30 23:51:11 | Epoch 014/060 | loss 2.5904 | cls 2.4827 | tal 0.1201 | dual_g 0.0717 | dual_d 0.9923 | train_acc 0.8021 | train_full n/a | val_acc 0.5000 | val_f1 0.5278 | adv/moduleC 0.30/0.75 | disc_steps 3 | grad(main/disc) 17.028/2.302 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
2026-08-30 23:51:13 | Epoch 015/060 | loss 2.7800 | cls 2.6783 | tal 0.0741 | dual_g 0.0795 | dual_d 0.9911 | train_acc 0.7604 | train_full 0.6562 | val_acc 0.5769 | val_f1 0.6339 | adv/moduleC 0.35/0.83 | disc_steps 3 | grad(main/disc) 18.918/2.203 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.4/0.4s | 1.9s
2026-08-30 23:51:14 | Epoch 016/060 | loss 2.6703 | cls 2.5511 | tal 0.1133 | dual_g 0.0853 | dual_d 1.0071 | train_acc 0.6875 | train_full n/a | val_acc 0.7692 | val_f1 0.8218 | adv/moduleC 0.40/0.92 | disc_steps 3 | grad(main/disc) 17.290/2.269 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
2026-08-30 23:51:16 | Epoch 017/060 | loss 2.6334 | cls 2.5271 | tal 0.0427 | dual_g 0.0935 | dual_d 0.9908 | train_acc 0.7708 | train_full n/a | val_acc 0.7692 | val_f1 0.8218 | adv/moduleC 0.45/1.00 | disc_steps 3 | grad(main/disc) 17.777/2.273 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 23:51:17 | Epoch 018/060 | loss 2.5510 | cls 2.4410 | tal 0.0507 | dual_g 0.0948 | dual_d 0.9698 | train_acc 0.8021 | train_full n/a | val_acc 0.7692 | val_f1 0.8287 | adv/moduleC 0.50/1.00 | disc_steps 3 | grad(main/disc) 17.876/2.234 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 23:51:18 | Epoch 019/060 | loss 2.3520 | cls 2.2503 | tal 0.0292 | dual_g 0.0929 | dual_d 1.0329 | train_acc 0.9062 | train_full n/a | val_acc 0.7692 | val_f1 0.8218 | adv/moduleC 0.55/1.00 | disc_steps 3 | grad(main/disc) 15.497/2.346 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-30 23:51:20 | Epoch 020/060 | loss 2.4867 | cls 2.3906 | tal 0.0094 | dual_g 0.0932 | dual_d 1.1000 | train_acc 0.8542 | train_full 0.6875 | val_acc 0.6538 | val_f1 0.7170 | adv/moduleC 0.60/1.00 | disc_steps 3 | grad(main/disc) 16.387/2.402 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.4/0.4s | 2.1s
2026-08-30 23:51:21 | Epoch 021/060 | loss 2.2465 | cls 2.1246 | tal 0.1017 | dual_g 0.0913 | dual_d 0.9468 | train_acc 0.9062 | train_full n/a | val_acc 0.6923 | val_f1 0.7552 | adv/moduleC 0.65/1.00 | disc_steps 3 | grad(main/disc) 15.525/2.250 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
