epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.884991725285848,5.909567356109619,3.2367215553919473,3.144524415334066,-0.08191886420051257,0.0,0.0,34.13938236236572,0.0,1.0,0.0,0.0,0.0,0.0,0.07291666666666667,0.08333333333333333,0.07291666666666667,0.07291666666666667,0.09375,0.0,0.0,0.0,0.0,1.1868369281291962,0.26996230830748874,0.3531000316143036,0.26901056865851086,1.6119448741277058,1.7639734148979187,6.444336811701457,0.0,0.0,0.0,0.0,0.0,2.489447593688965,0.19230769230769232,0.10227272727272728,0.16666666666666666,0.12037037037037039,0.19230769230769232,0.19230769230769232,0.19230769230769232,2.500268578529358,0.19230769230769232,0.1259259259259259,0.1875,0.12904496387381068,-0.11458333333333333,0.12037037037037039,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.087424278259277,29.146484375,1.0135397911071777,0.3864619731903076,0.3911173343658447,0.4232156276702881,2.2146265506744385
2,4.857585986455281,4.945112943649292,2.621544361114502,2.7336101134618125,-0.2917561853925387,0.0,0.0,28.5000638961792,0.0,1.0,0.0,0.0,0.0,0.0,0.15625,0.1875,0.15625,0.15625,0.16666666666666666,0.0,0.0,0.0,0.0,1.1435251633326213,0.33198073009649914,0.354869748155276,0.2727562189102173,1.6348303357760112,1.81153404712677,5.546319087346395,0.0,0.0,0.0,0.0,0.0,2.13996422290802,0.23076923076923078,0.07282913165266107,0.19999999999999998,0.10353535353535354,0.23076923076923078,0.23076923076923078,0.23076923076923078,,,,,,,0.10353535353535354,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.9490170478820801,0.38010573387145996,0.0,0.0,1.3293509483337402
3,4.593979835510254,4.678984006245931,2.4817660649617515,2.5849624077479043,-0.28334694107373554,0.0,0.0,26.38412570953369,0.0,1.0,0.0,0.0,0.0,0.0,0.22916666666666666,0.2604166666666667,0.22916666666666666,0.2708333333333333,0.23958333333333334,0.0,0.0,0.0,0.0,1.059119572242101,0.29241038858890533,0.35661597549915314,0.27300697565078735,1.5978094339370728,1.7794050971666973,5.028101205825806,0.0,0.0,0.0,0.0,0.0,2.0547627210617065,0.2692307692307692,0.2601010101010101,0.2833333333333333,0.21450617283950615,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.21450617283950615,-inf,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.8345277309417725,0.38139772415161133,0.0,0.0,1.216176986694336
4,4.1396790742874146,4.246561010678609,2.273613174756368,2.321114977200826,-0.3562728762626648,0.0,0.0,25.402182579040527,0.0,1.0,0.0,0.0,0.0,0.0,0.28125,0.3020833333333333,0.28125,0.2604166666666667,0.1875,0.0,0.0,0.0,0.0,1.0892402132352192,0.34834951162338257,0.3575700968503952,0.27146655817826587,1.5664690136909485,1.761027991771698,4.545511563618978,0.0,0.0,0.0,0.0,0.0,2.013344168663025,0.19230769230769232,0.032051282051282055,0.16666666666666666,0.05376344086021506,0.19230769230769232,0.19230769230769232,0.19230769230769232,,,,,,,0.05376344086021506,0.05376344086021506,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.6848690509796143,0.3781402111053467,0.0,0.0,1.0632195472717285
5,4.044455607732137,4.152117133140564,2.234829068183899,2.255633076032003,-0.3588719392816226,0.0,0.0,24.38016986846924,0.0,1.0,0.0,0.0,0.0,0.0,0.3125,0.3229166666666667,0.3125,0.4375,0.3125,0.0,0.0,0.0,0.0,1.1186261971791585,0.3557519813378652,0.35446057220300037,0.27138882378737134,1.534889241059621,1.7737183968226116,4.389001846313477,0.0,0.0,0.0,0.0,0.0,1.8516178131103516,0.23076923076923078,0.20138888888888887,0.25,0.1685823754789272,0.23076923076923078,0.23076923076923078,0.23076923076923078,1.8090394735336304,0.23076923076923078,0.17521367521367517,0.2708333333333333,0.19421101774042948,0.16666666666666669,0.1685823754789272,0.05376344086021506,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7244160175323486,0.3809049129486084,0.39671826362609863,0.4310624599456787,1.9333562850952148
6,3.6483316818873086,3.7194592157999673,1.8910048007965088,2.1511228481928506,-0.2687278563777606,0.009490889341880878,0.0,22.64024066925049,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.4583333333333333,0.3333333333333333,0.40625,0.3541666666666667,0.0,0.0,0.0,0.009490889341880878,1.010110507408778,0.30059904605150223,0.34850844244162243,0.26843783756097156,1.570429503917694,1.7398648460706074,4.1607052485148115,0.003485084317314128,0.000559245536957557,0.0032717282495771847,0.002174831034305195,0.0,1.6401774883270264,0.2692307692307692,0.24166666666666667,0.2916666666666667,0.2148148148148148,0.2692307692307692,0.2692307692307692,0.2692307692307692,,,,,,,0.2148148148148148,0.05376344086021506,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.7051076889038086,0.3843555450439453,0.0,0.0,1.0896821022033691
7,3.512314279874166,3.5805784861246743,1.9355761806170146,1.9352967540423076,-0.28769567608833313,0.01804454407344262,0.0,22.531132062276203,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.4583333333333333,0.46875,0.4583333333333333,0.4375,0.34375,0.0,0.0,0.0,0.01804454407344262,0.9811718563238779,0.25625456869602203,0.3205081870158513,0.26229670147101086,1.498952051003774,1.71833731730779,3.9584240118662515,0.006410163594409823,0.0010929029861775537,0.0062456338200718164,0.004295843110109369,0.0,1.4539938569068909,0.4230769230769231,0.32142857142857145,0.5,0.37559808612440193,0.4230769230769231,0.4230769230769231,0.4230769230769231,,,,,,,0.37559808612440193,0.05376344086021506,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.9684069156646729,0.3823113441467285,0.0,0.0,1.3509347438812256
8,3.2547913789749146,3.2964525620142617,1.8634153207143147,1.685926079750061,-0.22536654770374298,0.025948804803192616,0.0,21.12570285797119,0.0,1.0,0.0,0.0,0.0,0.25,0.5104166666666666,0.4583333333333333,0.5104166666666666,0.3958333333333333,0.46875,0.0,0.0,0.0,0.025948804803192616,0.9832749664783478,0.27192812661329907,0.2911869337161382,0.2553526858488719,1.4680020213127136,1.7179278333981831,3.725423812866211,0.008735608154286941,0.0015959543137190242,0.009175012819468975,0.006442229263484478,0.0,1.5260517597198486,0.4230769230769231,0.36147186147186144,0.5416666666666666,0.38026094276094274,0.4230769230769231,0.4230769230769231,0.4230769230769231,,,,,,,0.38026094276094274,0.1685823754789272,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.084860801696777,29.146484375,0.5939338207244873,0.3828728199005127,0.0,0.0,0.9770209789276123
9,2.9841043949127197,3.0378341674804688,1.655239423116048,1.6265820463498433,-0.29601644227902096,0.035075136770804725,0.8542924920717875,19.26790777842204,2.3382453123728433,1.0,0.0,3.0,0.05,0.3333333333333333,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5520833333333334,0.4895833333333333,0.8542924920717875,0.7217748363812765,0.9868101874987284,0.035075136770804725,0.9866311450799307,0.3506217102209727,0.2672713945309321,0.24993916849295297,1.5070118109385173,1.6811539729436238,3.6427114407221475,0.01069085563843449,0.0020828264920661845,0.012558432295918465,0.00840576970949769,0.0,1.518197476863861,0.46153846153846156,0.5321067821067821,0.5208333333333334,0.41519360269360267,0.46153846153846156,0.46153846153846156,0.46153846153846156,,,,,,,0.41519360269360267,0.2148148148148148,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.085799694061279,29.146484375,0.8406634330749512,0.43936681747436523,0.0,0.0,1.2802472114562988
10,3.192087491353353,3.2314316034317017,1.8359724283218384,1.6417166392008464,-0.2756957858800888,0.04336466391881307,1.0076851050059001,21.18647066752116,2.5089097817738852,1.0,0.0,3.0,0.1,0.4166666666666667,0.5104166666666666,0.5,0.5104166666666666,0.5208333333333334,0.5208333333333334,1.0076851050059001,0.812291145324707,1.203079064687093,0.04336466391881307,0.9611188669999441,0.281930148601532,0.24798240015904108,0.24546167999505997,1.4920377135276794,1.660878856976827,3.4874985218048096,0.012399120101084312,0.0025568925387536487,0.015542059981574615,0.010380493011325598,0.0,1.4812225103378296,0.5,0.4893518518518518,0.5666666666666667,0.47283272283272276,0.5,0.5,0.5,1.4898053407669067,0.5,0.47955747955747957,0.5416666666666666,0.5781004234724743,-0.02083333333333326,0.47283272283272276,0.37559808612440193,4,False,40,False,7e-05,2.4e-05,0.3428571428571429,4.085799694061279,29.146484375,0.816077709197998,0.3811764717102051,0.3888585567474365,0.433748722076416,2.02012300491333
