2026-08-30 21:38:20 | Starting Dual_D standalone training
2026-08-30 21:38:20 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_cycle_雨天_20260830_210831
2026-08-30 21:38:20 | Device: cuda
2026-08-30 21:38:20 | Source train samples: 992
2026-08-30 21:38:20 | Target train samples: 96
2026-08-30 21:38:20 | Target val samples: 26
2026-08-30 21:38:20 | Classes: 14
2026-08-30 21:38:20 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=117/0
2026-08-30 21:38:20 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 21:38:20 | target_train classes: present 6/14 | absent 8 | counts [0:7, 2:19, 9:32, 10:12, 11:6, 13:20]
2026-08-30 21:38:20 | target_val classes: present 6/14 | absent 8 | counts [0:2, 2:5, 9:8, 10:4, 11:2, 13:5]
2026-08-30 21:38:20 | Paired training classes: 6/14 | class ids [0, 2, 9, 10, 11, 13]
2026-08-30 21:38:20 | Runtime profile: batch=16 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=50
2026-08-30 21:38:20 | Augmentation profile: base=0.650 | visible=0.700 | infrared=0.500 | freeze_frozen_batch_norm_stats=True
2026-08-30 21:38:20 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 21:38:21 | Effective Dual-D loss weights: {"adv_auxiliary": 0.02, "adv_primary": 0.02, "classification": 0.6, "contrastive": 0.025, "cycle": 0.0, "identity": 0.025, "prototype_contrastive": 0.015}
2026-08-30 21:38:21 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 21:38:38 | Epoch 012/060 | loss 4.0864 | cls 2.8877 | tal 0.2058 | dual_g 1.1370 | dual_d 0.8876 | train_acc 0.6979 | train_full n/a | val_acc 0.5769 | val_f1 0.6349 | adv/moduleC 0.20/0.58 | disc_steps 3 | grad(main/disc) 21.401/2.118 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.3s
2026-08-30 21:38:40 | Epoch 013/060 | loss 3.8117 | cls 2.5853 | tal 0.1364 | dual_g 1.1855 | dual_d 1.0102 | train_acc 0.6875 | train_full n/a | val_acc 0.6154 | val_f1 0.6720 | adv/moduleC 0.25/0.67 | disc_steps 3 | grad(main/disc) 21.048/2.342 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-30 21:38:41 | Epoch 014/060 | loss 3.6536 | cls 2.3932 | tal 0.1161 | dual_g 1.2256 | dual_d 0.9384 | train_acc 0.8438 | train_full n/a | val_acc 0.5769 | val_f1 0.6339 | adv/moduleC 0.30/0.75 | disc_steps 3 | grad(main/disc) 18.558/2.238 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.2s
2026-08-30 21:38:43 | Epoch 015/060 | loss 3.9862 | cls 2.6011 | tal 0.0430 | dual_g 1.3722 | dual_d 0.9428 | train_acc 0.8021 | train_full 0.6562 | val_acc 0.6154 | val_f1 0.6720 | adv/moduleC 0.35/0.83 | disc_steps 3 | grad(main/disc) 21.427/2.136 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.4/0.4s | 1.8s
2026-08-30 21:38:44 | Epoch 016/060 | loss 4.1124 | cls 2.5418 | tal 0.0635 | dual_g 1.5516 | dual_d 0.9400 | train_acc 0.6875 | train_full n/a | val_acc 0.6538 | val_f1 0.7170 | adv/moduleC 0.40/0.92 | disc_steps 3 | grad(main/disc) 21.608/2.276 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.2s
2026-08-30 21:38:45 | Epoch 017/060 | loss 4.1009 | cls 2.4409 | tal -0.0050 | dual_g 1.6615 | dual_d 0.9128 | train_acc 0.8229 | train_full n/a | val_acc 0.7692 | val_f1 0.8287 | adv/moduleC 0.45/1.00 | disc_steps 3 | grad(main/disc) 21.554/2.200 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.3s
2026-08-30 21:38:47 | Epoch 018/060 | loss 3.8479 | cls 2.3629 | tal 0.0045 | dual_g 1.4837 | dual_d 0.8648 | train_acc 0.8021 | train_full n/a | val_acc 0.7692 | val_f1 0.8287 | adv/moduleC 0.50/1.00 | disc_steps 3 | grad(main/disc) 21.368/2.134 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.3s
2026-08-30 21:38:48 | Epoch 019/060 | loss 3.6195 | cls 2.1952 | tal -0.0375 | dual_g 1.4355 | dual_d 0.9565 | train_acc 0.8750 | train_full n/a | val_acc 0.6538 | val_f1 0.7170 | adv/moduleC 0.55/1.00 | disc_steps 3 | grad(main/disc) 18.521/2.299 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-30 21:38:50 | Epoch 020/060 | loss 3.8294 | cls 2.2885 | tal 0.0372 | dual_g 1.5298 | dual_d 0.9486 | train_acc 0.8750 | train_full 0.6875 | val_acc 0.6923 | val_f1 0.7552 | adv/moduleC 0.60/1.00 | disc_steps 3 | grad(main/disc) 20.132/2.257 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.4/0.4s | 2.0s
2026-08-30 21:38:51 | Epoch 021/060 | loss 3.3955 | cls 2.0032 | tal 0.1198 | dual_g 1.3564 | dual_d 0.8163 | train_acc 0.9375 | train_full n/a | val_acc 0.7692 | val_f1 0.7902 | adv/moduleC 0.65/1.00 | disc_steps 3 | grad(main/disc) 17.828/2.068 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
