variant,domain,runs,best_val_acc_mean,best_val_acc_std,best_val_acc_ci95,best_val_precision_mean,best_val_precision_std,best_val_precision_ci95,best_val_recall_mean,best_val_recall_std,best_val_recall_ci95,best_val_f1_mean,best_val_f1_std,best_val_f1_ci95,best_train_full_acc_mean,best_train_full_acc_std,best_train_full_acc_ci95,generalization_gap_mean,generalization_gap_std,generalization_gap_ci95
full,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,,,,,,
full,雨天,3,0.858974358974359,0.0888231183368655,0.10051282051282051,0.9209876543209876,0.04062835227630702,0.04597530864197533,0.9111111111111111,0.048112522432468836,0.05444444444444447,0.8933350600017266,0.060389887646498816,0.0683375910625132,0.84375,0.0,0.0,0.03605769230769229,0.0,0.0
full,雾天,3,0.9823232323232324,0.004373865675678979,0.004949494949494946,0.9812427079093745,0.011044144343472612,0.01249762583095907,0.977397910731244,0.00478187951892916,0.005411206077872773,0.9782513795786147,0.008311436014945077,0.009405275248338545,,,,,,
full,黑天,3,0.9611111111111111,0.017347216662217772,0.0196302236108595,0.930755008880009,0.020676310026569517,0.023397447392988616,0.9646121155267497,0.014729616746445478,0.01666813045949582,0.9423686200164451,0.019859923843764008,0.02247361945947393,0.9849462365591398,0.0,0.0,0.009946236559139843,0.0,0.0
no_classification_feedback,逆光,3,0.981981981981982,0.015604061329449314,0.017657657657657623,0.9851851851851853,0.012830005981991638,0.014518518518518465,0.9891975308641976,0.009637342590120966,0.010905679783810811,0.9859334081556304,0.01225624854736596,0.013869250860230326,,,,,,
no_classification_feedback,雨天,3,0.8589743589743589,0.15544045708951462,0.1758974358974359,0.9047619047619047,0.1017143303013992,0.11510060012071247,0.8944444444444444,0.123696911545624,0.13997623255043104,0.864678531345198,0.16222169861552446,0.18357113307357992,0.765625,0.1841423909339968,0.25520833333333337,-0.022836538461538436,0.04816031762889152,0.06674679487179495
no_classification_feedback,雾天,3,0.9671717171717172,0.004373865675678979,0.004949494949494946,0.9674177365844033,0.0030306268428562095,0.0034294771181312233,0.9680233346900013,0.00044877831792227216,0.000507840474011427,0.9658113232441189,0.0016750759685683347,0.0018955269002773624,0.9704142011834319,0.0,0.0,0.0007172314864621887,0.0,0.0
no_classification_feedback,黑天,3,0.95,0.05068968775248511,0.0573607815433093,0.9167320573570573,0.07215341356594225,0.08164927378068443,0.9637450963670476,0.032181575128871584,0.03641688048465635,0.9324616750030461,0.06148899279321536,0.06958134562106923,0.9849462365591398,0.0,0.0,0.009946236559139843,0.0,0.0
no_cycle,逆光,3,0.9819819819819819,0.03120812265889869,0.035315315315315315,0.9873015873015873,0.02199429596912852,0.0248888888888888,0.9891975308641976,0.018710425390404493,0.021172839506172787,0.9871996316440761,0.022170888348057107,0.02508872197761086,1.0,0.0,0.0,0.0,0.0,0.0
no_cycle,雨天,3,0.8461538461538461,0.15384615384615385,0.1740933119402564,0.9234006734006733,0.073464163379322,0.08313252682557072,0.9041666666666667,0.09583333333333338,0.10844562556278477,0.8833214624881291,0.11880418919600087,0.13443959600180602,0.90625,0.0,0.0,0.060096153846153855,0.0,0.0
no_cycle,雾天,3,0.9722222222222222,0.008747731351357958,0.009898989898989892,0.9767277167277169,0.009457018577940448,0.010701623954542211,0.9737213403880071,0.00450771707905887,0.005100962071289612,0.9737544724995889,0.007494787261285562,0.008481150187931507,,,,,,
no_cycle,黑天,3,0.9555555555555555,0.017347216662217772,0.0196302236108595,0.9253062909312909,0.025081980446190335,0.02838293279833716,0.9625795952015465,0.015835461364756425,0.01791951144810072,0.939459164806387,0.02188335677817114,0.02476334937623347,,,,,,
no_identity,逆光,3,0.981981981981982,0.015604061329449314,0.017657657657657623,0.9851851851851853,0.012830005981991638,0.014518518518518465,0.9891975308641976,0.009637342590120966,0.010905679783810811,0.9859334081556304,0.01225624854736596,0.013869250860230326,0.9772727272727273,0.0,0.0,-0.022727272727272707,0.0,0.0
no_identity,雨天,3,0.8589743589743589,0.13507248401093258,0.15284890460749376,0.9095238095238095,0.08644238086945803,0.09781876245417256,0.9111111111111111,0.08562812578776866,0.09689734608859189,0.8858607441940776,0.11245545043973737,0.12725532178311705,,,,,,
no_identity,雾天,3,0.9772727272727273,0.007575757575757569,0.0085727767243308,0.9819973544973545,0.006605484244523137,0.0074748090891384,0.9764550264550265,0.003968253968253843,0.004490502093696947,0.9780327833007506,0.005838172490895581,0.006606514100020302,,,,,,
no_identity,黑天,3,0.9583333333333334,0.016666666666666663,0.01886010879352777,0.9384743265993266,0.021425772817765983,0.0242455443797086,0.9618369435442606,0.015190897567677065,0.017190118847863554,0.9463205574306321,0.019390537228462724,0.02194245850162545,,,,,,
no_module_c,逆光,3,0.972972972972973,0.0,0.0,0.9798941798941799,0.0036657159948547536,0.0041481481481481335,0.9845679012345679,0.002672917912914946,0.0030246913580247044,0.9806152695041584,0.0032617736367784957,0.0036910443389701906,,,,,,
no_module_c,雨天,3,0.7435897435897436,0.18972626393524028,0.21469547872849182,0.8020602853936187,0.18499484282379428,0.20934137171389985,0.8236111111111111,0.12885266492882194,0.14581051673361378,0.760127989294656,0.1862936250099031,0.21081108211364635,0.6666666666666666,0.0,0.0,0.05128205128205121,0.0,0.0
no_module_c,雾天,3,0.9671717171717172,0.004373865675678979,0.004949494949494946,0.9641406467332394,0.02163539187371483,0.02448275067173211,0.9647944647944647,0.009189673536781181,0.010399094560841775,0.9627990212177095,0.015560008622833583,0.0176078073272923,0.9921104536489151,0.0,0.0,0.022413483951945423,0.0,0.0
