variant,domain,runs,best_val_acc_mean,best_val_acc_std,best_val_acc_ci95,best_val_precision_mean,best_val_precision_std,best_val_precision_ci95,best_val_recall_mean,best_val_recall_std,best_val_recall_ci95,best_val_f1_mean,best_val_f1_std,best_val_f1_ci95,best_val_correct_mean,best_val_correct_std,best_val_correct_ci95,best_val_total_mean,best_val_total_std,best_val_total_ci95,best_val_errors_mean,best_val_errors_std,best_val_errors_ci95,best_val_acc_wilson_low_mean,best_val_acc_wilson_low_std,best_val_acc_wilson_low_ci95,best_val_acc_wilson_high_mean,best_val_acc_wilson_high_std,best_val_acc_wilson_high_ci95,best_train_full_acc_mean,best_train_full_acc_std,best_train_full_acc_ci95,generalization_gap_mean,generalization_gap_std,generalization_gap_ci95
full,逆光,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.9059390425448564,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
full,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.8712669561953784,0.0,0.0,1.0,0.0,0.0,0.96875,0.0,0.0,-0.03125,0.0,0.0
full,黑天,3,0.9916666666666667,0.0,0.0,0.9845679012345679,0.009355212695202215,0.010586419753086359,0.9886363636363636,0.0,0.0,0.985685697949849,0.0051991233503353735,0.005883361921097746,119.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,0.0,0.9543025846256777,0.0,0.0,0.9985274821693252,0.0,0.0,0.9992831541218637,0.001241613482128252,0.0014050179211469813,0.007616487455197089,0.001241613482128252,0.0014050179211469813
no_classification_feedback,逆光,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.9059390425448564,0.0,0.0,1.0,0.0,0.0,,,,,,
no_classification_feedback,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.8712669561953784,0.0,0.0,1.0,0.0,0.0,,,,,,
no_classification_feedback,黑天,3,0.9888888888888889,0.004811252243246928,0.005444444444444498,0.9861812570145904,0.008317837228698758,0.009412518903606849,0.9876201034737621,0.0017602142353342265,0.001991869918699189,0.9863692581197823,0.004719861029530374,0.0053410255504364925,118.66666666666667,0.5773502691896257,0.6533333333333333,120.0,0.0,0.0,1.3333333333333333,0.5773502691896257,0.6533333333333333,0.9499560141461472,0.007528480909225912,0.008519278139879858,0.9974908319324997,0.0017955308798601297,0.0020318344641780416,,,,,,
no_cycle,逆光,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.9059390425448564,0.0,0.0,1.0,0.0,0.0,,,,,,
no_cycle,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.8712669561953784,0.0,0.0,1.0,0.0,0.0,0.96875,0.0,0.0,-0.03125,0.0,0.0
no_cycle,黑天,3,0.9916666666666667,0.0,0.0,0.9845679012345679,0.009355212695202215,0.010586419753086359,0.9886363636363636,0.0,0.0,0.985685697949849,0.0051991233503353735,0.005883361921097746,119.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,0.0,0.9543025846256777,0.0,0.0,0.9985274821693252,0.0,0.0,1.0,0.0,0.0,0.008333333333333304,0.0,0.0
no_identity,逆光,3,0.981981981981982,0.015604061329449314,0.017657657657657623,0.9873015873015873,0.011446194525282465,0.012952588441122558,0.9891975308641976,0.009637342590120966,0.010905679783810811,0.9871996316440761,0.01155095126940099,0.013071131856578424,36.333333333333336,0.5773502691896257,0.6533333333333333,37.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,0.8764838245978631,0.02550896701610343,0.02886611358805334,0.996808765963395,0.0027636897451215553,0.003127409355872975,,,,,,
