constraint,domain,iteration,seed,metric,higher_is_better,full_metric_mean,ablated_metric_mean,mechanism_gain,full_secondary_mean,ablated_secondary_mean,full_val_f1,ablated_val_f1,f1_gain,paired_target_samples,paired_source_samples
cycle,逆光,1,45,Target cycle cosine error,False,0.02432132906782747,0.0674794046363337,0.04315807556850623,0.024117251580618004,0.06745689482006771,1.0,1.0,0.0,37,512
cycle,逆光,2,46,Target cycle cosine error,False,0.026421128267870984,0.05816932704230285,0.031748198774431864,0.026198201643009983,0.057786697853132216,1.0,1.0,0.0,37,512
cycle,逆光,3,47,Target cycle cosine error,False,0.02841459025518674,0.056896778819440275,0.028482188564253535,0.028267625195868347,0.05679187408665921,1.0,1.0,0.0,37,512
cycle,雨天,1,48,Target cycle cosine error,False,0.030122508099435646,0.03792161980081054,0.007799111701374893,0.028793829144578374,0.03603701698230846,1.0,1.0,0.0,26,512
cycle,雨天,2,49,Target cycle cosine error,False,0.03378859316137986,0.056131592383427506,0.022342999222047646,0.03270724330401571,0.05511077939184053,1.0,1.0,0.0,26,512
cycle,雨天,3,50,Target cycle cosine error,False,0.030992242631676912,0.04609023563691421,0.015097993005237297,0.030075865321097496,0.04485761655674814,1.0,1.0,0.0,26,512
cycle,黑天,1,42,Target cycle cosine error,False,0.017831217490019917,0.05200500663125532,0.0341737891412354,0.016639178041169718,0.05079142974521832,0.9826839826839827,0.9826839826839827,0.0,120,512
cycle,黑天,2,43,Target cycle cosine error,False,0.010777048691395896,0.050604440627758526,0.03982739193636263,0.010495127515610048,0.048265657151379926,0.9826839826839827,0.9826839826839827,0.0,120,512
cycle,黑天,3,44,Target cycle cosine error,False,0.006137122865667719,0.052150422376763546,0.046013299511095826,0.005703425025845543,0.04944685336095563,0.9916891284815813,0.9916891284815813,0.0,120,512
identity,逆光,1,45,Target identity cosine error,False,0.022052678141851623,0.024944203333858116,0.002891525192006493,0.02189899199219666,0.02493951545001768,1.0,0.9775533108866442,0.02244668911335579,37,512
