variant,domain,runs,target_raw_silhouette_mean,target_raw_silhouette_std,target_translated_silhouette_mean,target_translated_silhouette_std,target_silhouette_gain_mean,target_silhouette_gain_std,source_target_raw_class_centroid_distance_mean,source_target_raw_class_centroid_distance_std,source_target_translated_class_centroid_distance_mean,source_target_translated_class_centroid_distance_std,class_centroid_alignment_gain_mean,class_centroid_alignment_gain_std,source_target_raw_coral_mean,source_target_raw_coral_std,source_target_translated_coral_mean,source_target_translated_coral_std,coral_alignment_gain_mean,coral_alignment_gain_std,source_target_raw_prototype_diagonal_mean,source_target_raw_prototype_diagonal_std,source_target_translated_prototype_diagonal_mean,source_target_translated_prototype_diagonal_std,prototype_diagonal_gain_mean,prototype_diagonal_gain_std,source_target_raw_prototype_margin_mean,source_target_raw_prototype_margin_std,source_target_translated_prototype_margin_mean,source_target_translated_prototype_margin_std,prototype_margin_gain_mean,prototype_margin_gain_std,source_target_raw_prototype_top1_mean,source_target_raw_prototype_top1_std,source_target_translated_prototype_top1_mean,source_target_translated_prototype_top1_std,prototype_top1_gain_mean,prototype_top1_gain_std,source_cycle_cosine_error_mean,source_cycle_cosine_error_std,target_cycle_cosine_error_mean,target_cycle_cosine_error_std,cycle_cosine_error_mean,cycle_cosine_error_std,source_identity_cosine_error_mean,source_identity_cosine_error_std,target_identity_cosine_error_mean,target_identity_cosine_error_std,identity_cosine_error_mean,identity_cosine_error_std
full,逆光,3,0.3666757067061987,0.022709028362811134,0.3818172391497826,0.02547327146827973,0.015141532443583886,0.0035469410485774906,0.7445411810444461,0.03360092578772021,0.7332774657342169,0.035239324429701,0.011263715310229183,0.0027380666044513583,0.0027720155110787406,0.00028272330752322143,0.0028516746289679504,0.0003047898998635287,-7.965911788920983e-05,3.357112505351405e-05,0.25545882682005566,0.033600932242821846,0.26672254999478656,0.03523932663618889,0.011263723174730936,0.0027380855154949244,0.08757308622201283,0.020665843827210453,0.10228550185759862,0.020199859492852912,0.014712415635585785,0.0014180514263208547,0.9259259259259259,0.12830005981991682,0.9259259259259259,0.12830005981991682,0.0,0.0,0.024619667982384328,0.0016637743816878634,0.029033179969494106,0.0017014704351928007,0.026826423975939217,0.0016557314804981412,0.02168359523256668,0.0005082930226170743,0.02478522651602621,0.0010711673527526427,0.023234410874296445,0.0005931381610385093
full,雨天,3,0.5487893216814674,0.029458633105406706,0.5628244571643493,0.03549700547568337,0.014035135482881897,0.006105145230965377,0.8685878897085786,0.06148688810625457,0.8676642392658525,0.0596204923418876,0.0009236504427260946,0.002133311212704998,0.00991702418340201,0.003315640628903973,0.01005428398054649,0.0033046524747021083,-0.00013725979714447988,1.2403446758746644e-05,0.1314121037721634,0.06148687421511236,0.13233574976523718,0.059620489576123974,0.0009236459930737814,0.0021333121119198224,0.05721261849006017,0.02262204916643401,0.06715973963340123,0.03068556414619884,0.009947121143341064,0.008705486117741983,0.888888888888889,0.0962250448649376,0.8333333333333334,0.0,-0.055555555555555546,0.0962250448649376,0.031700979014086306,0.0020620390776841875,0.053469318924087586,0.0038847439312456704,0.042585148969086946,0.0018800458924993074,0.01954043457700674,0.0017436724420307101,0.03258617119593927,0.002152148640517448,0.026063302886473006,0.0009030291813558253
full,黑天,3,0.5596094619298296,0.06111640796202158,0.5797840014468244,0.05700504896049182,0.020174539516994716,0.006678707930254241,0.38769059876600903,0.08542671559911749,0.37825964267055195,0.07602041093884442,0.009430956095457077,0.00941273069010694,0.0013989246933197236,0.0002870058971751165,0.001415311812197773,0.00030706123864796404,-1.6387118878049346e-05,2.2476796368644823e-05,0.6123093962669373,0.08542669212430737,0.6217403213183085,0.07602039390768336,0.009430925051371256,0.009412724506593119,0.43457449475924176,0.0744872004312397,0.45321284731229144,0.07174323312103195,0.018638352553049724,0.002934279602115198,1.0,0.0,1.0,0.0,0.0,0.0,0.010369440656300202,0.0057446400405445725,0.014294910609590651,0.007729378359520526,0.012332175632945428,0.006715562415692047,0.01137697039477551,0.0030845961515349176,0.017598652793801545,0.005320146769703585,0.014487811594288526,0.0041925489838032055
no_classification_feedback,逆光,3,0.35651407525912066,0.02143305844443504,0.3568756523228433,0.023626580612895787,0.0003615770637226771,0.003923488286607128,0.7866628832287259,0.03821711398078133,0.7410000559908372,0.04646606445278322,0.04566282723788865,0.008562985804886137,0.002528007646307373,0.0001020807186743197,0.0024768110146645345,8.182155838149992e-05,5.119663164283875e-05,2.083860608507173e-05,0.2133371184269587,0.038217099865605356,0.25899994373321533,0.04646606369547388,0.045662825306256614,0.008562995396352352,0.07228169590234756,0.007061956153263635,0.09171667198340099,0.0070699359905662205,0.019434976081053417,0.0059222869104463526,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.007670994946498667,0.002310070349930894,0.009054495553406648,0.0009064330783147412,0.008362745249952657,0.0016076309727956666,0.04100559042114543,0.0036569298079507945,0.04017929201985805,0.004159922611231149,0.04059244122050174,0.0037704523164101313
no_classification_feedback,雨天,3,0.5520694780477985,0.019780198854057386,0.5481853400272777,0.018272969460854167,-0.0038841380205207887,0.005084023884336648,0.8583832555967901,0.03615930415562116,0.8337806709524658,0.04494940073824513,0.02460258464432426,0.014201860641188474,0.006385087799066653,0.0010564571317358302,0.0063635392583216936,0.0010497384746044136,2.1548540744960088e-05,7.1938443334776845e-06,0.14161674678325653,0.03615930200245562,0.16621931890646616,0.04494939831513014,0.024602572123209637,0.014201836798342339,0.052903427431980767,0.022031781324264532,0.056906728694836296,0.0038428464866712073,0.00400330126285553,0.018192294873483887,0.8333333333333334,0.16666666666666669,0.7222222222222222,0.09622504486493767,-0.11111111111111112,0.1924500897298753,0.0032410970368037233,0.0008802061380264118,0.004688869865042671,0.00044809943863361373,0.003964983450923197,0.0005827036278120563,0.0422824114332725,0.0008778834884854344,0.06025214949486661,0.011657292341381392,0.05126728046406956,0.0062315496984928186
no_classification_feedback,黑天,3,0.554736204171835,0.0261954845161985,0.5697976004832561,0.019286998345736783,0.01506139631142119,0.00827831215641476,0.43388885756333667,0.09604264818699237,0.3328855137030284,0.07586437075322569,0.10100334386030833,0.020632776086988547,0.0013930255868638778,0.0006400813840831944,0.0011481832169544862,0.0006007468051233852,0.0002448423699093917,4.28782518556453e-05,0.5661111573378245,0.09604266779177374,0.6671144962310791,0.07586435370584992,0.1010033388932546,0.020632812088998292,0.4082263112068176,0.07886110687815855,0.4733220636844635,0.04128576462263053,0.06509575247764587,0.041703779856804214,1.0,0.0,1.0,0.0,0.0,0.0,0.0025826466463542462,0.0012548342319266157,0.004234961395435163,0.0018260834159792155,0.0034088040208947045,0.0015404337445227242,0.008942171181756083,0.00871291225828606,0.010722408376380912,0.007662202911075373,0.009832289779068496,0.007935023897967991
no_cycle,逆光,3,0.3856520106976924,0.03468926155468358,0.40284762411103336,0.04097964458209361,0.01719561341334097,0.006293404419250005,0.7319088798982126,0.03832604478855072,0.7203001929102121,0.039055472058169345,0.011608686988000513,0.0007793284133989633,0.0028226831518884396,0.0009886544158054479,0.002935163558580605,0.0009706303113611944,-0.00011248040669216564,2.8888444546055056e-05,0.2680911074082057,0.038326009184988775,0.27969980736573535,0.03905545730696056,0.011608699957529703,0.0007793393145614834,0.11614245921373367,0.039051636045829674,0.13573242723941803,0.04346741544183931,0.019589968025684357,0.006649524967298332,0.9629629629629629,0.06415002990995845,0.9629629629629629,0.06415002990995845,0.0,0.0,0.05700226557975299,0.0050634473307526375,0.0632011376792459,0.004726717871668238,0.060101701629499446,0.004760402391872691,0.027421354189708706,0.0011451644849970874,0.03126088112845577,0.0012751827108055647,0.029341117659082237,0.001002677087365878
no_cycle,雨天,3,0.5539324239907113,0.029861293472459204,0.5679215218005513,0.03712285352584374,0.013989097809840034,0.007292737705215186,0.8616799040594035,0.05886553947231239,0.8599556344043877,0.04456332747970525,0.001724269655015746,0.01433459192259752,0.013665628357080243,0.004728363866301953,0.01381208302275258,0.004701807087912939,-0.000146454665672338,2.6618856560886932e-05,0.1383200834194819,0.058865526664733984,0.1400443638364474,0.04456333727456811,0.0017242804169654846,0.014334569228800262,0.061318368961413704,0.011692850025923723,0.06804275636871655,0.016300079457994512,0.0067243874073028564,0.005538727031666669,0.8333333333333334,0.16666666666666669,0.888888888888889,0.0962250448649376,0.05555555555555558,0.09622504486493767,0.046146468101527595,0.00775334082566644,0.07387696804052038,0.00310146887943622,0.06001171807102399,0.004190664036032694,0.022984144633970676,0.0036287533241627845,0.0371021122024489,0.0017214117447057209,0.030043128418209785,0.0011209246706048914
no_cycle,黑天,3,0.5687829109344934,0.02625782188631137,0.6224357404684244,0.03487585446120387,0.053652829533931023,0.009265887873436159,0.42840303977330524,0.03503792731104838,0.4078013598918915,0.031529280762079746,0.020601679881413777,0.004023830132838581,0.0016345852781357198,0.00018513003246171963,0.0017814356233656998,0.00021052200283648955,-0.00014685034522998017,3.50378106877498e-05,0.5715969602266947,0.03503791350593966,0.5921986103057861,0.031529235492629405,0.02060165007909139,0.004023838439153908,0.4167871872584025,0.0061574334497621775,0.45834438999493915,0.017992867964676685,0.04155720273653666,0.013951657958138427,1.0,0.0,1.0,0.0,0.0,0.0,0.04728774510381271,0.00013649480871967356,0.06048394499428814,0.003252494942026617,0.053885845049050425,0.0016511092199334833,0.022909409519602773,0.001089364686469712,0.03545624137310489,0.0001415225643485702,0.029182825446353828,0.0004748734034621724
no_identity,逆光,3,0.31994584248677554,0.04382207481838288,0.3261027186498209,0.04566303253379674,0.006156876163045315,0.0021129998706122875,0.8091656452527753,0.045865315797795854,0.7997665184515494,0.04662706128721346,0.009399126801225899,0.0015722993772434542,0.005537550747655593,0.0017884356404255673,0.00562385565696395,0.001759776682204762,-8.630490930835635e-05,2.950357193229414e-05,0.19083434343338013,0.04586531324840332,0.2002334843079249,0.046627068628221864,0.009399140874544779,0.0015723035379291014,0.0513529342909654,0.01815025071612661,0.060004460314909615,0.02552889532188087,0.00865152602394422,0.007715568171259515,0.8148148148148148,0.06415002990995838,0.8148148148148148,0.1697250257391052,0.0,0.11111111111111116,0.02690602280134641,0.001883605172386122,0.02911898923830642,0.001259624105887283,0.028012506019826418,0.0004185512759061307,0.023203944440528295,0.0010637396197189274,0.026094823680872386,0.0013165542154022667,0.02464938406070034,0.00040411477894291105
