epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,10.127519743783134,4.751099177769253,2.397158443927765,2.3539407679012845,-0.010541597647326333,5.379583052226475,0.0,28.855719702584402,0.0,0.0,0.2700892857142857,0.265625,0.2700892857142857,0.3013392857142857,0.2700892857142857,0.0,0.0,0.0,5.379583052226475,1.0282250259603773,0.8986762676920209,0.6006222196987697,0.4571413972548076,3.4374715089797974,4.712667754718235,2.5996991991996765,0.025,0.003125,0.125,0.006097560975609757,0.025,0.025,0.025000000000000005,2.5258715748786926,0.03333333333333333,0.033925318761384333,0.023655913978494623,0.005789473684210526,0.27768337173579105,0.006097560975609757,0.0003,0.0001,0.33333333333333337,11.608162641525269
2,6.823635578155518,3.0800635644367764,1.6169761674744743,1.4630873884473528,-0.08822396716901235,3.7700391667229787,0.0,20.70921516418457,0.0,0.0,0.6227678571428571,0.5535714285714286,0.6227678571428571,0.625,0.5535714285714286,0.0,0.0,0.0,3.7700391667229787,0.9097072950431279,1.0670296124049596,0.5369193851947784,0.43679249925272806,3.316726957048689,3.1480671678270613,2.1495593190193176,0.2916666666666667,0.388996138996139,0.51973814229249,0.37186147186147184,0.2916666666666667,0.2916666666666667,0.2916666666666667,2.031354933977127,0.30833333333333335,0.3976114081996435,0.25161290322580643,0.33109297960701395,0.37338709677419357,0.37186147186147184,0.0003,0.0001,0.33333333333333337,9.957365274429321
3,5.3723936421530585,2.403429848807199,1.2420838986124312,1.1613459501947676,-0.004763028451374599,2.970392652920314,0.0,18.607564858027867,0.0,0.0,0.7611607142857143,0.7410714285714286,0.7611607142857143,0.7723214285714286,0.7477678571428571,0.0,0.0,0.0,2.970392652920314,0.9998314210346767,1.1923047687326158,0.48655264931065695,0.42165843290942057,3.2131806952612743,2.384715301649911,1.1208253502845764,0.7083333333333334,0.7779067460317461,0.8179438204955172,0.7431139814291987,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.1535072922706604,0.7166666666666667,0.7424561491263173,0.7462365591397849,0.767011191400975,0.026084869431643676,0.7431139814291987,0.0003,0.0001,0.33333333333333337,10.244296073913574
4,4.503217560904367,1.9413782869066512,1.0084640213421412,0.9329142442771367,0.05044078427766051,2.5467070170811246,0.0,16.90130431311471,0.0,0.0,0.8995535714285714,0.8348214285714286,0.8995535714285714,0.8861607142857143,0.8415178571428571,0.0,0.0,0.0,2.5467070170811246,1.010412769658225,1.238551288843155,0.4472544086830957,0.41178132380758015,3.052190831729344,1.9972716995647974,1.1732846796512604,0.7583333333333333,0.7540485829959513,0.8534373400989255,0.764606227106227,0.7583333333333333,0.7583333333333333,0.7583333333333333,1.2020370364189148,0.75,0.7748674517884078,0.7569892473118279,0.7711445664132289,0.12917146697388637,0.764606227106227,0.0003,0.0001,0.33333333333333337,9.804161310195923
5,4.015923789569309,1.722753848348345,0.8546246205057416,0.8681292278426034,0.0840588068323476,2.2679522889001027,0.0,14.18597766331264,0.0,0.0,0.90625,0.9084821428571429,0.90625,0.8928571428571429,0.9151785714285714,0.0,0.0,0.0,2.2679522889001027,0.9939538836479187,1.1778711250850133,0.42125859217984335,0.405379838177136,3.0210814816611156,1.7349458251680647,1.0319719016551971,0.825,0.8440397710808462,0.9099242486039941,0.8587387853692201,0.825,0.825,0.825,1.033204972743988,0.8,0.843064058652473,0.7956989247311828,0.8324714337517712,0.09715821812596015,0.8587387853692201,0.0003,0.0001,0.33333333333333337,10.5950186252594
6,3.7085563285010203,1.5993145108222961,0.8127023024218423,0.7866122041429792,0.020100616983004978,2.1032115731920515,0.7371987700462341,13.075891017913818,1.9900193810462952,0.06666666666666667,0.9441964285714286,0.9308035714285714,0.9441964285714286,0.9486607142857143,0.9263392857142857,0.7371987700462341,0.714835599064827,0.7595619559288025,2.1032115731920515,1.0686566020761217,1.2336407133511134,0.3974182094846453,0.39926802260535105,2.9478419508252824,1.5744061980928694,1.1311575025320053,0.725,0.7684885136531556,0.8787630052873956,0.758530269890711,0.725,0.725,0.7250000000000001,1.0967035442590714,0.7666666666666667,0.7818303331762954,0.7247311827956989,0.7403024026317491,0.22392953149001538,0.758530269890711,0.0003,0.0001,0.33333333333333337,10.951416730880737
7,3.562468477657863,1.5296878729547774,0.782690337726048,0.7469975352287292,0.05420297470742038,2.016519682747977,0.7054310292005539,11.339846917561122,1.8594547808170319,0.13333333333333333,0.9553571428571429,0.9375,0.9553571428571429,0.96875,0.9553571428571429,0.7054310292005539,0.7155938297510147,0.6952682286500931,2.016519682747977,1.0512204085077559,1.281756682055337,0.376325969185148,0.3954510816505977,2.866170287132263,1.4908607346670968,0.8287264853715897,0.9166666666666666,0.9003496503496504,0.947605747910626,0.9130661005661006,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.797936737537384,0.9333333333333333,0.9266634209672184,0.9053763440860215,0.9032548832594547,0.06337365591397848,0.9130661005661006,0.0003,0.0001,0.33333333333333337,10.303299903869629
8,3.4148949214390347,1.4239249910627092,0.7169295293944222,0.7069954786981855,0.14911683648824692,1.9462348818778992,0.6605643630027771,9.88080028125218,1.7364173233509064,0.2,0.9709821428571429,0.9732142857142857,0.9709821428571429,0.9821428571428571,0.9620535714285714,0.6605643630027771,0.631852462887764,0.6892762780189514,1.9462348818778992,0.9072831741401127,1.0735415433134352,0.35381041892937254,0.387864534343992,2.803352015359061,1.429984714303698,1.4335552752017975,0.6833333333333333,0.8092261904761905,0.7715943697518459,0.7185824615887544,0.6833333333333333,0.6833333333333333,0.6833333333333333,1.3460273444652557,0.7,0.7409520875768014,0.7032258064516129,0.7342154557110327,0.2789170506912442,0.7185824615887544,0.0003,0.0001,0.33333333333333337,9.648579120635986
9,3.438632999147688,1.4457641329084123,0.7319638643945966,0.7138002599988665,0.23697721000228608,1.9217757156917028,0.7643285840749741,10.213798625128609,1.8879987597465515,0.26666666666666666,0.9709821428571429,0.9665178571428571,0.9709821428571429,0.9754464285714286,0.9776785714285714,0.7643285840749741,0.6892265677452087,0.8394306302070618,1.9217757156917028,0.8325991034507751,0.7593792421477181,0.33147974738052915,0.3850016657795225,2.78173291683197,1.416159680911473,0.8342126160860062,0.9,0.8819444444444444,0.9480641309909603,0.9053194506642783,0.9,0.9,0.9,0.8129696100950241,0.9,0.9046843846322495,0.8731182795698925,0.8545219199930698,0.10232814900153608,0.9053194506642783,0.0003,0.0001,0.33333333333333337,10.491191387176514
10,3.3180787903921947,1.3931976301329476,0.6931530364922115,0.70004460641316,0.18648132575409754,1.8689367771148682,0.8607001751661301,8.687076841081891,1.994036465883255,0.3333333333333333,0.9754464285714286,0.9799107142857143,0.9754464285714286,0.96875,0.984375,0.8607001751661301,0.7802435606718063,0.9411567747592926,1.8689367771148682,0.7456448589052472,0.5328950392348426,0.3127235770225525,0.3813380364860807,2.711933067866734,1.379696786403656,0.7565101087093353,0.9416666666666667,0.9184027777777778,0.9650669452498721,0.9332345310165894,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.7589312344789505,0.9416666666666667,0.9332345310165894,0.9505376344086022,0.9292338450289693,0.018212365591397828,0.9332345310165894,0.0003,0.0001,0.33333333333333337,10.369941473007202
