variant,domain,runs,best_val_acc_mean,best_val_acc_std,best_val_acc_ci95,best_val_precision_mean,best_val_precision_std,best_val_precision_ci95,best_val_recall_mean,best_val_recall_std,best_val_recall_ci95,best_val_f1_mean,best_val_f1_std,best_val_f1_ci95,best_val_correct_mean,best_val_correct_std,best_val_correct_ci95,best_val_total_mean,best_val_total_std,best_val_total_ci95,best_val_errors_mean,best_val_errors_std,best_val_errors_ci95,best_val_acc_wilson_low_mean,best_val_acc_wilson_low_std,best_val_acc_wilson_low_ci95,best_val_acc_wilson_high_mean,best_val_acc_wilson_high_std,best_val_acc_wilson_high_ci95,best_train_full_acc_mean,best_train_full_acc_std,best_train_full_acc_ci95,generalization_gap_mean,generalization_gap_std,generalization_gap_ci95
full,逆光,3,0.981981981981982,0.015604061329449314,0.017657657657657623,0.9851851851851853,0.012830005981991638,0.014518518518518465,0.9876543209876544,0.010691671651659719,0.012098765432098747,0.9850355405910961,0.012959602002011806,0.014665170220725781,36.333333333333336,0.5773502691896257,0.6533333333333333,37.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,0.8764838245978631,0.02550896701610343,0.02886611358805334,0.996808765963395,0.0027636897451215553,0.003127409355872975,1.0,0.0,0.0,0.027027027027026973,0.0,0.0
full,雨天,3,0.9871794871794872,0.02220577958421636,0.02512820512820511,0.9814814814814814,0.03207501495497929,0.03629629629629639,0.9930555555555556,0.012028130608117225,0.013611111111111136,0.9851851851851852,0.02566001196398334,0.029037037037037007,25.666666666666668,0.5773502691896257,0.6533333333333333,26.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.8512007141570576,0.03475575072734613,0.03932983439510881,0.9977260636743367,0.0039385732492252705,0.004456915198300007,0.9895833333333334,0.0,0.0,-0.01041666666666663,0.0,0.0
full,雾天,3,0.9722222222222222,0.004373865675678979,0.004949494949494946,0.9715248948582281,0.006076267091483117,0.0068759435042342505,0.9661986161986162,0.011209296622738422,0.012684513228226208,0.9672102834142113,0.008322284370619434,0.009417551318433501,128.33333333333334,0.5773502691896257,0.6533333333333333,132.0,0.0,0.0,3.6666666666666665,0.5773502691896257,0.6533333333333333,0.92821908578585,0.006140700432591043,0.006948856693627808,0.9895164728844444,0.002359645105000243,0.002670189803665191,,,,,,
full,黑天,3,0.986111111111111,0.004811252243246928,0.005444444444444498,0.9823933782267116,0.002794414181683746,0.0031621773288439403,0.9866038433111604,0.0017602142353342265,0.001991869918699189,0.9840511030238493,0.001183960944354921,0.0013397779330693016,118.33333333333333,0.5773502691896257,0.6533333333333333,120.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.6533333333333333,0.9456094436666167,0.007528480909225912,0.008519278139879858,0.9964541816956741,0.0017955308798601297,0.0020318344641780416,,,,,,
no_classification_feedback,逆光,3,0.972972972972973,0.02702702702702703,0.03058396020572072,0.9798941798941799,0.0191355992804498,0.021653969055518103,0.9830246913580247,0.01625872492724184,0.018398479258309383,0.9797174019396242,0.01929180357485276,0.021830730854705466,36.0,1.0,1.1316065276116665,37.0,0.0,0.0,1.0,1.0,1.1316065276116665,0.863548535844608,0.04152336821321888,0.04698811451850127,0.9934208287248508,0.007634781473527394,0.008639568552332217,0.9886363636363636,0.005356869554443537,0.007424242424242417,0.02917690417690416,0.01375412453167941,0.019062244062244122
no_classification_feedback,雨天,3,0.9615384615384616,0.038461538461538436,0.043523327985064066,0.9629629629629629,0.04243125643477631,0.04801548675635741,0.975,0.022047927592204905,0.02494957878364844,0.9623216289882957,0.039834081285248846,0.04507650640380132,25.0,1.0,1.1316065276116665,26.0,0.0,0.0,1.0,1.0,1.1316065276116665,0.8136385704902146,0.05638716981970209,0.06380808944152244,0.9906078506132115,0.010906885028720274,0.01234230229440982,0.9375,0.0,0.0,0.014423076923076872,0.0,0.0
no_classification_feedback,雾天,3,0.9671717171717172,0.008747731351357958,0.009898989898989892,0.9699333361402327,0.004208976165471259,0.004762904903409198,0.9586657169990503,0.011396621577458532,0.012896491369772042,0.962280021901911,0.005718472270427945,0.006471060549182571,127.66666666666667,1.1547005383792515,1.3066666666666666,132.0,0.0,0.0,4.333333333333333,1.1547005383792515,1.3066666666666666,0.9213637789436544,0.012077570308669678,0.013667057398979459,0.9865564261579738,0.004923120766512766,0.005571035595606398,0.9822485207100592,0.0,0.0,0.020127308588847037,0.0,0.0
no_classification_feedback,黑天,3,0.986111111111111,0.004811252243246928,0.005444444444444498,0.9769921436588104,0.008317837228698758,0.009412518903606849,0.9866038433111604,0.0017602142353342265,0.001991869918699189,0.9810493877579831,0.004719861029530374,0.0053410255504364925,118.33333333333333,0.5773502691896257,0.6533333333333333,120.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.6533333333333333,0.9456094436666167,0.007528480909225912,0.008519278139879858,0.9964541816956741,0.0017955308798601297,0.0020318344641780416,0.9978494623655914,0.0,0.0,0.014516129032258074,0.0,0.0
no_cycle,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9938271604938271,0.010691671651659719,0.012098765432098747,0.9925177702955481,0.012959602002011806,0.014665170220725781,36.666666666666664,0.5773502691896257,0.6533333333333333,37.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.8912114335713598,0.02550896701610343,0.02886611358805334,0.9984043829816974,0.0027636897451215553,0.003127409355872975,,,,,,
no_cycle,雨天,3,0.9871794871794872,0.02220577958421636,0.02512820512820511,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9876543209876543,0.021383343303319504,0.02419753086419757,25.666666666666668,0.5773502691896257,0.6533333333333333,26.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.8512007141570576,0.03475575072734613,0.03932983439510881,0.9977260636743367,0.0039385732492252705,0.004456915198300007,0.9895833333333334,0.0,0.0,-0.01041666666666663,0.0,0.0
no_cycle,雾天,3,0.9823232323232324,0.004373865675678979,0.004949494949494946,0.9849743870433525,0.008390719079722251,0.009494992481969455,0.9712250712250712,0.011733741265203223,0.013277978209010341,0.9770527678742661,0.010164589459709002,0.011502315783099449,129.66666666666666,0.5773502691896257,0.6533333333333333,132.0,0.0,0.0,2.3333333333333335,0.5773502691896257,0.6533333333333333,0.9427291382894091,0.006425373645737178,0.007270994759860162,0.9946371275182178,0.00207497189185398,0.002348051737432693,,,,,,
no_cycle,黑天,3,0.9916666666666667,0.0,0.0,0.9845679012345679,0.009355212695202215,0.010586419753086359,0.9886363636363636,0.0,0.0,0.985685697949849,0.0051991233503353735,0.005883361921097746,119.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,0.0,0.9543025846256777,0.0,0.0,0.9985274821693252,0.0,0.0,0.9978494623655914,0.0,0.0,0.006182795698924659,0.0,0.0
no_identity,逆光,3,0.981981981981982,0.015604061329449314,0.017657657657657623,0.9851851851851853,0.012830005981991638,0.014518518518518465,0.9876543209876544,0.010691671651659719,0.012098765432098747,0.9850355405910961,0.012959602002011806,0.014665170220725781,36.333333333333336,0.5773502691896257,0.6533333333333333,37.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,0.8764838245978631,0.02550896701610343,0.02886611358805334,0.996808765963395,0.0027636897451215553,0.003127409355872975,,,,,,
