run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_val_correct,best_val_total,best_val_errors,best_val_acc_wilson_low,best_val_acc_wilson_high,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_acc_target_like,best_train_dual_d_generator_total,best_train_dual_d_cycle,best_train_acc_source_like,best_train_dual_d_classification_feedback,best_train_dual_d_identity,best_train_dual_d_contrastive,best_train_dual_d_adv_auxiliary,best_train_dual_d_prototype_contrastive,best_train_dual_d_adv_primary
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726,module_c_no_prototype_contrastive_逆光_20260830_224726/metrics_iter01,no_prototype_contrastive,逆光,1,45,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726/metrics_iter01.csv,60,53.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,36.0,37.0,1.0,0.8617562156243666,0.9952131489450924,,,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726/feature_embeddings_iter01.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726/result_summary_iter01.json,0.8611111111111112,0.44131728675630355,0.22514043748378754,0.9027777777777778,2.3222260210249157,0.207524706919988,1.2481634351942275,0.6744964851273431,1.4310790697733562,0.7166040937105814
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726,module_c_no_prototype_contrastive_逆光_20260830_224726/metrics_iter02,no_prototype_contrastive,逆光,2,46,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726/metrics_iter02.csv,60,58.0,1.0,1.0,1.0,1.0,37.0,37.0,0.0,0.9059390425448564,1.0,,,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726/feature_embeddings_iter02.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726/result_summary_iter02.json,0.875,0.4571114348040687,0.2296612560749054,0.9097222222222222,2.4109186596340604,0.21933750477102068,1.225919034745958,0.9090943535168966,1.3984892898135715,0.5635363757610321
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726,module_c_no_prototype_contrastive_逆光_20260830_224726/metrics_iter03,no_prototype_contrastive,逆光,3,47,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726/metrics_iter03.csv,60,49.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,36.0,37.0,1.0,0.8617562156243666,0.9952131489450924,,,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726/feature_embeddings_iter03.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_逆光_20260830_224726/result_summary_iter03.json,0.8472222222222222,0.45136911670366925,0.23390159673160976,0.9027777777777778,2.4287948608398438,0.21417714655399323,1.2440340254041884,0.47558651036686367,1.4160976277457342,0.6314411991172366
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726,module_c_no_prototype_contrastive_雨天_20260830_224726/metrics_iter01,no_prototype_contrastive,雨天,1,51,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726/metrics_iter01.csv,60,49.0,1.0,1.0,1.0,1.0,26.0,26.0,0.0,0.8712669561953784,1.0,,,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726/feature_embeddings_iter01.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726/result_summary_iter01.json,0.9583333333333334,1.1514488657315571,0.28294675548871356,0.9895833333333334,1.7673064867655437,0.23161575198173523,0.9464968144893646,0.44498858352502185,1.0039998888969421,0.9379377961158752
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726,module_c_no_prototype_contrastive_雨天_20260830_224726/metrics_iter02,no_prototype_contrastive,雨天,2,52,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726/metrics_iter02.csv,60,49.0,0.9615384615384616,0.9722222222222222,0.9666666666666667,0.9663299663299664,25.0,26.0,1.0,0.811068230080416,0.9931781910230102,,,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726/feature_embeddings_iter02.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726/result_summary_iter02.json,0.9270833333333334,1.1641235152880351,0.28457804024219513,0.9583333333333334,1.7929511268933613,0.24154517551263174,1.0030705829461415,0.6315807004769644,1.0803604225317638,0.5228204925855001
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726,module_c_no_prototype_contrastive_雨天_20260830_224726/metrics_iter03,no_prototype_contrastive,雨天,3,53,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726/metrics_iter03.csv,60,53.0,1.0,1.0,1.0,1.0,26.0,26.0,0.0,0.8712669561953784,1.0,,,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726/feature_embeddings_iter03.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雨天_20260830_224726/result_summary_iter03.json,0.9270833333333334,1.2020366191864014,0.2846464266379674,0.9791666666666666,1.8365586002667744,0.23542136947313944,0.9777719775835673,0.927186111609141,1.0130127271016438,0.8535133600234985
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726,module_c_no_prototype_contrastive_雾天_20260830_224726/metrics_iter01,no_prototype_contrastive,雾天,1,48,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726/metrics_iter01.csv,60,59.0,0.9772727272727273,0.9835164835164836,0.9764550264550265,0.9789898794795217,129.0,132.0,3.0,0.9353097558813885,0.9922411563575722,,,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726/feature_embeddings_iter01.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726/result_summary_iter01.json,0.980072463768116,1.0749672651290894,0.21189254770676294,0.9710144927536232,1.8178868889808655,0.21554849793513617,1.2301026980082195,0.4539875239133835,1.1142913500467937,0.6384897232055664
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726,module_c_no_prototype_contrastive_雾天_20260830_224726/metrics_iter02,no_prototype_contrastive,雾天,2,49,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726/metrics_iter02.csv,60,58.0,0.9772727272727273,0.9732056194125158,0.9718762718762718,0.9708074063012256,129.0,132.0,3.0,0.9353097558813885,0.9922411563575722,,,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726/feature_embeddings_iter02.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726/result_summary_iter02.json,0.9746376811594203,1.1015984614690144,0.2155712495247523,0.9692028985507246,1.8743043343226116,0.21442320197820663,1.2691922585169475,0.4878958463668823,1.1281294425328572,0.4828079392512639
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726,module_c_no_prototype_contrastive_雾天_20260830_224726/metrics_iter03,no_prototype_contrastive,雾天,3,50,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726/metrics_iter03.csv,60,53.0,0.9848484848484849,0.9876190476190475,0.9801587301587301,0.9830499893991956,130.0,132.0,2.0,0.9464388294934194,0.9958351130985406,,,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726/feature_embeddings_iter03.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_雾天_20260830_224726/result_summary_iter03.json,0.9909420289855072,1.087001383304596,0.20991467436154684,0.9692028985507246,1.8428965210914612,0.20607860634724298,1.2884388168652852,0.4304249385992686,1.1694426536560059,0.6135440667470297
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726,module_c_no_prototype_contrastive_黑天_20260830_224726/metrics_iter01,no_prototype_contrastive,黑天,1,42,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726/metrics_iter01.csv,58,43.0,0.9916666666666667,0.9791666666666667,0.9886363636363636,0.9826839826839827,119.0,120.0,1.0,0.9543025846256777,0.9985274821693252,,,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726/feature_embeddings_iter01.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726/result_summary_iter01.json,0.9979166666666667,0.877961273988088,0.1563214381535848,0.9916666666666667,1.2487176815668741,0.15050757229328154,0.3838239312171936,0.46743435263633726,0.4172079433997472,0.43909498353799187
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726,module_c_no_prototype_contrastive_黑天_20260830_224726/metrics_iter02,no_prototype_contrastive,黑天,2,43,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726/metrics_iter02.csv,55,40.0,0.9916666666666667,0.9791666666666667,0.9886363636363636,0.9826839826839827,119.0,120.0,1.0,0.9543025846256777,0.9985274821693252,1.0,0.008333333333333304,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726/feature_embeddings_iter02.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726/result_summary_iter02.json,0.9979166666666667,0.8884750068187713,0.1586104209224383,0.9979166666666667,1.259163506825765,0.14955275257428488,0.4562594503164291,0.38950846989949545,0.48636943598588306,0.4965883016586304
runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726,module_c_no_prototype_contrastive_黑天_20260830_224726/metrics_iter03,no_prototype_contrastive,黑天,3,44,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726/metrics_iter03.csv,60,55.0,0.9916666666666667,0.9953703703703703,0.9886363636363636,0.9916891284815813,119.0,120.0,1.0,0.9543025846256777,0.9985274821693252,1.0,0.008333333333333304,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726/feature_embeddings_iter03.npz,runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_prototype_contrastive_黑天_20260830_224726/result_summary_iter03.json,1.0,0.8582514683405559,0.13083215802907944,1.0,1.2214932362238566,0.14458739111820856,0.3508749336004257,0.5231442232926686,0.3891817231973012,0.5035850663979848
