run,variant,domain,iteration,seed,target_raw_silhouette,target_translated_silhouette,target_silhouette_gain,source_target_raw_class_centroid_distance,source_target_translated_class_centroid_distance,class_centroid_alignment_gain,source_target_raw_coral,source_target_translated_coral,coral_alignment_gain,source_target_raw_prototype_diagonal,source_target_translated_prototype_diagonal,prototype_diagonal_gain,source_target_raw_prototype_margin,source_target_translated_prototype_margin,prototype_margin_gain,source_target_raw_prototype_top1,source_target_translated_prototype_top1,prototype_top1_gain,source_cycle_cosine_error,target_cycle_cosine_error,cycle_cosine_error,source_identity_cosine_error,target_identity_cosine_error,identity_cosine_error
module_c_no_classification_feedback_雨天_20260830_232057/metrics_iter02,no_classification_feedback,雨天,2,52,0.5177132839697131,0.5201268126579072,0.002413528688194111,0.9251499914874634,0.8802553651233515,0.0448946263641119,0.004513901822827237,0.004506843749032731,7.058073794505987e-06,0.07485000044107437,0.11974465101957321,0.04489465057849884,0.05573692545294762,0.061497341841459274,0.005760416388511658,0.8333333333333334,1.0,0.16666666666666663,0.0033127961648331196,0.0050104990590993,0.00416164761196621,0.037104861257304396,0.04238108513633214,0.03974297319681827
module_c_no_classification_feedback_雨天_20260830_232057/metrics_iter03,no_classification_feedback,雨天,3,53,0.5378857481989502,0.5391103305443209,0.001224582345370706,0.8990828730165958,0.8960817512124777,0.0030011218041181564,0.00956114307117695,0.009515502101276073,4.564096990087793e-05,0.10091710835695267,0.10391823202371597,0.0030011236667633057,0.043813735246658325,0.05845866724848747,0.014644932001829147,0.5,0.6666666666666666,0.16666666666666663,0.004812463139789626,0.006470690223848241,0.0056415766818189335,0.03553806522157533,0.06081275985897802,0.04817541254027667
module_c_no_classification_feedback_雾天_20260830_232057/metrics_iter01,no_classification_feedback,雾天,1,48,0.2707442530245105,0.26543661102475763,-0.005307641999752866,0.7230147371689478,0.6970380445321401,0.025976692636807686,0.0008729030639388029,0.0008657628376216891,7.140226317113802e-06,0.2769852578639984,0.30296194553375244,0.02597668766975403,0.17380481958389282,0.1507970541715622,-0.023007765412330627,1.0,1.0,0.0,0.0034105673726016563,0.004979506021549576,0.004195036697075616,0.06557343441893351,0.09538612662060783,0.08047978051977067
module_c_no_classification_feedback_雾天_20260830_232057/metrics_iter02,no_classification_feedback,雾天,2,49,0.2816782007164689,0.27738059936059056,-0.004297601355878311,0.6534924772050645,0.6247447298632728,0.02874774734179175,0.0010006975625353092,0.000995204607157795,5.49295537751425e-06,0.34650754928588867,0.3752552568912506,0.02874770760536194,0.17152605950832367,0.17629218101501465,0.004766121506690979,1.0,1.0,0.0,0.0019476450147202582,0.0028359277097728675,0.002391786362246563,0.07298366414235098,0.08350929836017469,0.07824648125126284
module_c_no_classification_feedback_雾天_20260830_232057/metrics_iter03,no_classification_feedback,雾天,3,50,0.2572458869736774,0.2501898442416623,-0.0070560427320151,0.7590136867430475,0.7564329008261362,0.0025807859169112435,0.0008973667766219214,0.0008915782731200224,5.78850350189898e-06,0.24098628759384155,0.24356709420681,0.002580806612968445,0.10920950025320053,0.10153734683990479,-0.007672153413295746,0.7777777777777778,0.7777777777777778,0.0,0.003427686300318618,0.004525442785549897,0.003976564542934258,0.06033108711363173,0.08915385117273286,0.07474246914318229
module_c_no_classification_feedback_黑天_20260830_232057/metrics_iter01,no_classification_feedback,黑天,1,42,0.4949016679557064,0.5165754281085209,0.02167376015281447,0.46341439336538315,0.3592163771390915,0.10419801622629166,0.0015402325175071616,0.0012600111777400927,0.00028022133976706885,0.5365855693817139,0.6407836675643921,0.10419809818267822,0.37962406873703003,0.4647691249847412,0.08514505624771118,1.0,1.0,0.0,0.0035308438560030654,0.006759961635724839,0.0051454027458639525,0.008197036584989022,0.014129044801520775,0.011163040693254899
module_c_no_classification_feedback_黑天_20260830_232057/metrics_iter02,no_classification_feedback,黑天,2,43,0.4970012064152124,0.521831088132713,0.024829881717500557,0.49276498332619667,0.386747844517231,0.10601713880896568,0.0011458025571067887,0.0009181253729006165,0.00022767718420617215,0.5072349905967712,0.6132521629333496,0.10601717233657837,0.3883298635482788,0.4514084458351135,0.06307858228683472,1.0,1.0,0.0,0.0029020055304020465,0.004321038635429638,0.0036115220829158424,0.004284152989198872,0.0038126031116162556,0.004048378050407564
module_c_no_classification_feedback_黑天_20260830_232057/metrics_iter03,no_classification_feedback,黑天,3,44,0.5562442860179057,0.5901683760961499,0.03392409007824426,0.4173266664147377,0.3239704445004463,0.09335622191429138,0.001132710515165409,0.0008994186855270049,0.00023329182963840404,0.5826733112335205,0.6760295629501343,0.09335625171661377,0.45786526799201965,0.5379906296730042,0.0801253616809845,1.0,1.0,0.0,0.0027488563379781355,0.004746505981760332,0.0037476811598692334,0.003981356274084245,0.006306555854747372,0.0051439560644158085
module_c_no_cycle_逆光_20260830_210831/metrics_iter01,no_cycle,逆光,1,45,0.35533708599488023,0.3563572621553327,0.0010201761604524684,0.7528620602356063,0.7490528573592504,0.0038092028763558883,0.0021308592940751246,0.00223197266216031,-0.00010111336808518549,0.24713796377182007,0.25094711780548096,0.0038091540336608887,0.10489595681428909,0.1180245578289032,0.013128601014614105,0.8888888888888888,1.0,0.11111111111111116,0.06342477299323032,0.06551346272186342,0.06446911785754687,0.030639059563856735,0.028943909864739097,0.029791484714297916
module_c_no_cycle_逆光_20260830_210831/metrics_iter02,no_cycle,逆光,2,46,0.35171498534307366,0.37160066405795084,0.019885678714877175,0.73489225241873,0.7149853242768182,0.01990692814191186,0.0026297705099575736,0.0027088714620740802,-7.910095211650665e-05,0.26510775089263916,0.28501468896865845,0.019906938076019287,0.10440750420093536,0.12446333467960358,0.020055830478668213,0.8888888888888888,0.7777777777777778,-0.11111111111111105,0.051834840998702544,0.06607798522271681,0.05895641311070968,0.025847361474968564,0.03464712363109676,0.030247242553032662
