constraint,domain,iteration,seed,metric,higher_is_better,full_metric_mean,ablated_metric_mean,mechanism_gain,full_secondary_mean,ablated_secondary_mean,full_val_f1,ablated_val_f1,f1_gain,paired_target_samples,paired_source_samples
cycle,逆光,1,45,Target cycle cosine error,False,0.03303746307134873,0.0697632348600914,0.036725771788742666,0.033003131705045256,0.06976620651383256,1.0,1.0,0.0,37,512
cycle,逆光,2,46,Target cycle cosine error,False,0.037098785199906524,0.058440180960555775,0.02134139576064925,0.03704791366937815,0.05834971029689397,1.0,0.980246913580247,0.01975308641975304,37,512
cycle,逆光,3,47,Target cycle cosine error,False,0.03413227263330579,0.0663979076242427,0.03226563499093692,0.03414924151565091,0.06670144414368734,1.0,1.0,0.0,37,512
cycle,雨天,1,48,Target cycle cosine error,False,0.03773272332076724,0.0607751363834201,0.02304241306265286,0.036907491925796496,0.05960641354943076,1.0,1.0,0.0,26,512
cycle,雨天,2,49,Target cycle cosine error,False,0.03453779123797748,0.05561453054334612,0.021076739305368637,0.03369721068654487,0.05407759172298446,1.0,1.0,0.0,26,512
cycle,雨天,3,50,Target cycle cosine error,False,0.025078448719621425,0.047824372225586644,0.02274592350596522,0.023797539390985917,0.04608856468104573,1.0,1.0,0.0,26,512
cycle,黑天,1,42,Target cycle cosine error,False,0.02302357389425943,0.0649764709366124,0.041952897042352964,0.021983605713089004,0.060788623943262225,0.9828703703703704,0.962567385444744,0.020302984925626433,120,512
cycle,黑天,2,43,Target cycle cosine error,False,0.018576811662434876,0.06675087688521424,0.04817406522277936,0.017761622616938335,0.06306130816258759,0.9360497835497835,0.9446106362773029,-0.008560852727519386,120,512
cycle,黑天,3,44,Target cycle cosine error,False,0.019694748226580596,0.0593896639343552,0.0396949157077746,0.016956780979255986,0.05340413499645505,0.9593827614267866,0.9663372267145852,-0.006954465287798639,120,512
identity,逆光,1,45,Target identity cosine error,False,0.027854051974594594,0.03245896811825412,0.004604916143659526,0.027944027009789145,0.032596742652685695,1.0,1.0,0.0,37,512
identity,逆光,2,46,Target identity cosine error,False,0.02692732020919597,0.02867542148860807,0.0017481012794120995,0.02679319233328655,0.028552062841499477,1.0,1.0,0.0,37,512
identity,逆光,3,47,Target identity cosine error,False,0.026625461081081256,0.032536025675225365,0.005910564594144109,0.026461368415882803,0.03252035457004383,1.0,1.0,0.0,37,512
identity,雨天,1,48,Target identity cosine error,False,0.026456835566103367,0.028187484156151275,0.0017306485900479077,0.025829662765462037,0.027636696578057646,1.0,1.0,0.0,26,512
identity,雨天,2,49,Target identity cosine error,False,0.02443570875434825,0.025482672910633736,0.0010469641562854855,0.023850548872922914,0.024949496967039676,1.0,1.0,0.0,26,512
identity,雨天,3,50,Target identity cosine error,False,0.01807051541860753,0.022019033070874307,0.003948517652266777,0.017342637566679787,0.021386775843916562,1.0,1.0,0.0,26,512
identity,黑天,1,42,Target identity cosine error,False,0.025761788220331917,0.03166210156937044,0.005900313349038521,0.024597748737630196,0.029867311347110813,0.9828703703703704,0.9556670327110579,0.027203337659312488,120,512
identity,黑天,2,43,Target identity cosine error,False,0.02637497037682912,0.0332152707526771,0.006840300375847978,0.024779644453938418,0.03129727807563402,0.9360497835497835,0.9543571245838096,-0.018307341034026092,120,512
identity,黑天,3,44,Target identity cosine error,False,0.02585855367921106,0.030579048976160383,0.004720495296949324,0.023326372448979053,0.02803129017264618,0.9593827614267866,0.9663372267145852,-0.006954465287798639,120,512
paired_contrastive,逆光,1,45,Correct-vs-nearest-wrong prototype margin,True,0.12279704812275047,0.1163311968600625,0.006465851262687963,0.7332531560781175,0.7769686163429593,1.0,1.0,0.0,37,512
paired_contrastive,逆光,2,46,Correct-vs-nearest-wrong prototype margin,True,0.05194064501966104,0.04103883737145416,0.010901807648206877,0.7863523839088575,0.7901812083581428,1.0,0.980246913580247,0.01975308641975304,37,512
paired_contrastive,逆光,3,47,Correct-vs-nearest-wrong prototype margin,True,0.11386165117104383,0.12156216651464946,-0.007700515343605635,0.6859901484711163,0.7049303538487893,1.0,1.0,0.0,37,512
