run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_cycle,best_train_dual_d_contrastive,best_train_dual_d_generator_total,best_train_dual_d_adv_primary,best_train_dual_d_adv_auxiliary,best_train_dual_d_prototype_contrastive,best_train_acc_target_like,best_train_acc_source_like,best_train_dual_d_identity,best_train_dual_d_classification_feedback
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_cycle_黑天_20260829_153936,module_c_no_cycle_黑天_20260829_153936/metrics_iter03,no_cycle,黑天,3,44,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_cycle_黑天_20260829_153936/metrics_iter03.csv,60,57.0,0.975,0.9594907407407407,0.9783938887199757,0.9663372267145852,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_cycle_黑天_20260829_153936/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_cycle_黑天_20260829_153936/result_summary_iter03.json,0.33070941766103107,0.6809769670168558,0.8518491089344025,0.39792775611082715,0.3970458259185155,0.565516064564387,0.9963768115942029,1.0,0.2338662395874659,1.286046306292216
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018,module_c_no_identity_逆光_20260829_162018/metrics_iter01,no_identity,逆光,1,45,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018/metrics_iter01.csv,55,37.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018/result_summary_iter01.json,0.2564666271209717,1.223677158355713,0.39733149111270905,0.6180521100759506,0.5697888657450676,1.179522454738617,0.9483695652173914,0.967391304347826,0.24192754924297333,1.4883961081504822
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018,module_c_no_identity_逆光_20260829_162018/metrics_iter02,no_identity,逆光,2,46,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018/metrics_iter02.csv,45,23.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018/result_summary_iter02.json,0.2800886332988739,1.5222108662128448,0.4911397323012352,0.7123254239559174,1.1295758485794067,1.5098030269145966,0.8804347826086957,0.9347826086956522,0.247355118393898,1.7841067016124725
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018,module_c_no_identity_逆光_20260829_162018/metrics_iter03,no_identity,逆光,3,47,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018/metrics_iter03.csv,60,43.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_逆光_20260829_162018/result_summary_iter03.json,0.2463776171207428,1.1019307971000671,0.35879237949848175,0.46866702288389206,0.40442850440740585,1.0005953311920166,0.9728260869565217,0.9972826086956522,0.24038340896368027,1.3919758200645447
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018,module_c_no_identity_雨天_20260829_162018/metrics_iter01,no_identity,雨天,1,48,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018/metrics_iter01.csv,59,39.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018/result_summary_iter01.json,0.2536986768245697,0.7380085289478302,0.7100304067134857,0.6833186596632004,0.4711382985115051,0.6500947624444962,0.9972826086956522,1.0,0.23018160462379456,1.062498927116394
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018,module_c_no_identity_雨天_20260829_162018/metrics_iter02,no_identity,雨天,2,49,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018/metrics_iter02.csv,50,27.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018/result_summary_iter02.json,0.2791283056139946,0.9227533489465714,0.7408581227064133,0.4246821179986,0.5504968240857124,0.8518211394548416,0.9891304347826086,0.9972826086956522,0.23821667954325676,1.1042732894420624
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018,module_c_no_identity_雨天_20260829_162018/metrics_iter03,no_identity,雨天,3,50,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018/metrics_iter03.csv,53,33.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_雨天_20260829_162018/result_summary_iter03.json,0.25986335426568985,0.9128067493438721,0.7384062111377716,0.5631961077451706,0.36343302577733994,0.8298550099134445,0.9836956521739131,1.0,0.23122484609484673,1.1059968173503876
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018,module_c_no_identity_黑天_20260829_162018/metrics_iter01,no_identity,黑天,1,42,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018/metrics_iter01.csv,52,37.0,0.9666666666666667,0.9469907407407407,0.9694162544772301,0.9556670327110579,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018/result_summary_iter01.json,0.24415036290884018,0.847103625535965,0.9226973255475363,0.32566533982753754,0.3252755453189214,0.7034254272778829,0.9945652173913043,1.0,0.22841749091943106,1.3158586025238037
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018,module_c_no_identity_黑天_20260829_162018/metrics_iter02,no_identity,黑天,2,43,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018/metrics_iter02.csv,60,60.0,0.9583333333333334,0.943287037037037,0.9681263858093127,0.9543571245838096,0.989247311827957,0.03091397849462363,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018/result_summary_iter02.json,0.1984274536371231,0.6420692503452301,0.8828582366307577,0.46259189148743945,0.27122050275405246,0.5299958835045496,1.0,0.9981884057971014,0.24119016031424204,1.2863940596580505
runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018,module_c_no_identity_黑天_20260829_162018/metrics_iter03,no_identity,黑天,3,44,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018/metrics_iter03.csv,60,47.0,0.975,0.9594907407407407,0.9783938887199757,0.9663372267145852,,,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v7/module_c_20260829_145907/module_c_no_identity_黑天_20260829_162018/result_summary_iter03.json,0.2109044815103213,0.8158246576786041,0.9100860555966696,0.41004931430021924,0.3964720219373703,0.6860290765762329,1.0,0.9963768115942029,0.23793904234965643,1.3025824030240376
