variant,domain,runs,best_val_acc_mean,best_val_acc_std,best_val_acc_ci95,best_val_precision_mean,best_val_precision_std,best_val_precision_ci95,best_val_recall_mean,best_val_recall_std,best_val_recall_ci95,best_val_f1_mean,best_val_f1_std,best_val_f1_ci95,best_train_full_acc_mean,best_train_full_acc_std,best_train_full_acc_ci95,generalization_gap_mean,generalization_gap_std,generalization_gap_ci95
full,逆光,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,
full,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,
full,黑天,3,0.9638888888888889,0.02097176232019651,0.02373178313705476,0.9529471300304634,0.03595740104006282,0.04068962973288561,0.9715488867795337,0.00830075980743452,0.009393193982229462,0.9594343051156469,0.023410335967685818,0.02649128899461545,0.9903225806451613,0.001520659744487229,0.0021075268817204716,0.015322580645161343,0.01330577276426298,0.018440860215053746
no_classification_feedback,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,,,,,,
no_classification_feedback,雨天,3,0.9871794871794872,0.02220577958421636,0.02512820512820511,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9876543209876543,0.021383343303319504,0.02419753086419757,0.9895833333333334,0.0,0.0,-0.01041666666666663,0.0,0.0
no_classification_feedback,黑天,3,0.9444444444444444,0.039381796885438386,0.04456469842463888,0.9224417557750891,0.03136509136380624,0.03549294212641945,0.9544104269714027,0.028366473323430706,0.03209968637811639,0.9322950855844786,0.03482183305790708,0.03940461359173137,0.9763440860215054,0.0,0.0,0.018010752688171983,0.0,0.0
no_cycle,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,,,,,,
no_cycle,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,
no_cycle,黑天,3,0.9722222222222222,0.004811252243246864,0.0054444444444444245,0.9527391975308642,0.011694015869002785,0.013233024691357967,0.971239744702099,0.00783894226676755,0.008870598238645154,0.957838416145544,0.011609631604057617,0.013137534906318303,,,,,,
no_identity,逆光,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,
no_identity,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,
no_identity,黑天,3,0.9666666666666667,0.008333333333333304,0.009430054396763855,0.9499228395061728,0.008490459693505505,0.009607859611594579,0.9719788430021729,0.0055929016589105545,0.006328964025513302,0.9587871280031509,0.006571298025486232,0.007436123740521875,0.989247311827957,0.0,0.0,0.03091397849462363,0.0,0.0
no_module_c,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,,,,,,
no_module_c,雨天,3,0.9871794871794872,0.02220577958421636,0.02512820512820511,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9876543209876543,0.021383343303319504,0.02419753086419757,,,,,,
no_module_c,黑天,3,0.9361111111111111,0.024056261216234387,0.0272222222222222,0.911909707455395,0.027908015996795908,0.03158089307466506,0.9541332651088749,0.012681266799627021,0.014350204288843043,0.9288915841269813,0.021901608083029635,0.024784002671948774,0.9698924731182795,0.0,0.0,0.019892473118279574,0.0,0.0
no_paired_contrastive,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,,,,,,
no_paired_contrastive,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.96875,0.0,0.0,-0.03125,0.0,0.0
no_paired_contrastive,黑天,3,0.9666666666666667,0.022047927592204905,0.02494957878364844,0.9517365350698684,0.043730680381377805,0.04948592337646657,0.9700025584171926,0.008764802692717568,0.009918307940307512,0.9579163426254621,0.027575314169661944,0.031204405515331938,0.978494623655914,0.0,0.0,0.036827956989247346,0.0,0.0
no_prototype_contrastive,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,,,,,,
no_prototype_contrastive,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9895833333333334,0.0,0.0,-0.01041666666666663,0.0,0.0
no_prototype_contrastive,黑天,3,0.9638888888888889,0.01924500897298752,0.021777777777777774,0.9570399430816098,0.011594325008740624,0.013120213863142084,0.9717579168798681,0.006669366568406517,0.007547098743843835,0.9610206174927147,0.004915450203319061,0.005562355536225944,0.9440860215053763,0.0,0.0,0.0024193548387096975,0.0,0.0
