run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_prototype_contrastive,best_train_dual_d_contrastive,best_train_dual_d_cycle,best_train_dual_d_generator_total,best_train_acc_target_like,best_train_dual_d_identity,best_train_acc_source_like,best_train_dual_d_adv_primary,best_train_dual_d_classification_feedback,best_train_dual_d_adv_auxiliary
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_逆光_20260827_162556,module_c_no_classification_feedback_逆光_20260827_162556/metrics_iter03,no_classification_feedback,逆光,3,47,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_逆光_20260827_162556/metrics_iter03.csv,44,29.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_逆光_20260827_162556/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_逆光_20260827_162556/result_summary_iter03.json,1.426231026649475,1.447471817334493,0.20223007102807364,0.2536979864041011,0.8442028985507246,0.24258078634738922,0.8260869565217391,0.5114835401376089,2.130420446395874,0.44230501850446063
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556,module_c_no_classification_feedback_雨天_20260827_162556/metrics_iter01,no_classification_feedback,雨天,1,51,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556/metrics_iter01.csv,35,16.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556/result_summary_iter01.json,0.8959497511386871,0.9349091500043869,0.1419372297823429,0.17173384130001068,0.9864130434782609,0.27658334374427795,0.9972826086956522,1.043515145778656,0.9275353103876114,0.4801567867398262
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556,module_c_no_classification_feedback_雨天_20260827_162556/metrics_iter02,no_classification_feedback,雨天,2,52,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556/metrics_iter02.csv,35,12.0,0.9615384615384616,0.9722222222222222,0.9666666666666667,0.9663299663299664,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556/result_summary_iter02.json,1.1750864684581757,1.1971046030521393,0.17763814330101013,0.19781995192170143,0.9510869565217391,0.26416120678186417,0.9972826086956522,0.5187497809529305,1.0186020582914352,0.8210102468729019
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556,module_c_no_classification_feedback_雨天_20260827_162556/metrics_iter03,no_classification_feedback,雨天,3,53,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556/metrics_iter03.csv,55,40.0,1.0,1.0,1.0,1.0,0.9895833333333334,-0.01041666666666663,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雨天_20260827_162556/result_summary_iter03.json,0.468746080994606,0.5636026859283447,0.10075065493583679,0.1274380125105381,1.0,0.32849588245153427,1.0,0.45658430457115173,0.8406332731246948,0.3463909476995468
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556,module_c_no_classification_feedback_雾天_20260827_162556/metrics_iter01,no_classification_feedback,雾天,1,48,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556/metrics_iter01.csv,60,58.0,0.9696969696969697,0.9837901562039494,0.967908017908018,0.9748329101763537,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556/result_summary_iter01.json,0.8862637182076772,1.0541801850001018,0.0857736070950826,0.17138849943876266,0.980072463768116,0.36794285972913104,0.9601449275362319,0.4979343116283417,1.6340351899464924,0.3649450292189916
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556,module_c_no_classification_feedback_雾天_20260827_162556/metrics_iter02,no_classification_feedback,雾天,2,49,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556/metrics_iter02.csv,60,52.0,0.9772727272727273,0.9684900284900285,0.9716117216117216,0.9685171970886256,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556/result_summary_iter02.json,0.9727816383043925,1.1424591938654582,0.0801042839884758,0.17354615529378256,0.9728260869565217,0.3729149053494136,0.9438405797101449,0.34291880826155346,1.6970403393109639,0.3771319091320038
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556,module_c_no_classification_feedback_雾天_20260827_162556/metrics_iter03,no_classification_feedback,雾天,3,50,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556/metrics_iter03.csv,48,32.0,0.9393939393939394,0.9566666666666666,0.9522995522995524,0.9487935235718487,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_雾天_20260827_162556/result_summary_iter03.json,1.4019115765889485,1.5009472568829854,0.11653696124752362,0.2275428573290507,0.927536231884058,0.32773230969905853,0.8605072463768116,0.48791226744651794,2.0080641508102417,0.36099719007809955
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556,module_c_no_classification_feedback_黑天_20260827_162556/metrics_iter01,no_classification_feedback,黑天,1,42,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556/metrics_iter01.csv,55,40.0,0.9666666666666667,0.9469907407407407,0.9694162544772301,0.9556670327110579,0.9827956989247312,0.016129032258064502,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556/result_summary_iter01.json,0.3832585939339229,0.5082351224763053,0.0658323849950518,0.10176023628030505,0.9953416149068323,0.24007419603211538,0.9968944099378882,0.3286628680569785,0.8510215963636126,0.39605834228651865
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556,module_c_no_classification_feedback_黑天_20260827_162556/metrics_iter02,no_classification_feedback,黑天,2,43,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556/metrics_iter02.csv,35,17.0,0.9,0.8723656692406693,0.9445463073511854,0.8893601867006122,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556/result_summary_iter02.json,0.9180262684822083,1.014720814568656,0.11490898260048457,0.16742546430655889,0.9798136645962733,0.30882992914744783,0.9782608695652174,0.5657163347516742,0.9544255818639483,0.3648878591401236
runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556,module_c_no_classification_feedback_黑天_20260827_162556/metrics_iter03,no_classification_feedback,黑天,3,44,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556/metrics_iter03.csv,46,31.0,0.975,0.9594907407407407,0.9783938887199757,0.9663372267145852,,,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v5/module_c_20260827_121947/module_c_no_classification_feedback_黑天_20260827_162556/result_summary_iter03.json,0.5594501835959298,0.6853823917252677,0.0753878823348454,0.12950649431773595,0.9968944099378882,0.3516829141548702,0.9953416149068323,0.38871966089521137,0.8715858629771641,0.37744955931391033
