variant,domain,runs,best_val_acc_mean,best_val_acc_std,best_val_acc_ci95,best_val_precision_mean,best_val_precision_std,best_val_precision_ci95,best_val_recall_mean,best_val_recall_std,best_val_recall_ci95,best_val_f1_mean,best_val_f1_std,best_val_f1_ci95,best_train_full_acc_mean,best_train_full_acc_std,best_train_full_acc_ci95,generalization_gap_mean,generalization_gap_std,generalization_gap_ci95
full,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,0.9924242424242424,0.0,0.0,-0.007575757575757569,0.0,0.0
full,雨天,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9791666666666666,0.0,0.0,-0.02083333333333337,0.0,0.0
full,雾天,3,0.9873737373737373,0.004373865675678979,0.004949494949494946,0.9902645502645502,0.00458214499356857,0.005185185185185312,0.981657848324515,0.0021383343303320464,0.0024197530864198654,0.9851864407509641,0.003463215676243832,0.003918997465764572,0.9960552268244576,0.0,0.0,0.011206741975972712,0.0,0.0
full,黑天,3,0.9555555555555556,0.026787918780535953,0.030313383753185638,0.9554450950284283,0.021331412117111058,0.024138765194897473,0.9706854209770435,0.008900920087754689,0.010072339273053012,0.9600284388802787,0.017880103432243,0.020233241758297944,0.9849462365591398,0.0,0.0,0.018279569892473146,0.0,0.0
no_classification_feedback,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,1.0,0.0,0.0,0.027027027027026973,0.0,0.0
no_classification_feedback,雨天,3,0.9871794871794872,0.02220577958421636,0.02512820512820511,0.9907407407407407,0.016037507477489613,0.018148148148148156,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9887766554433222,0.019439403003017677,0.021997755331088636,0.9895833333333334,0.0,0.0,-0.01041666666666663,0.0,0.0
no_classification_feedback,雾天,3,0.9621212121212122,0.020043570538368093,0.02268143525786222,0.9696489504535482,0.013598832532902188,0.01538852766213001,0.963939763939764,0.010249402448576922,0.011598290714928643,0.9640478769456093,0.0135828395628564,0.015370429912830297,,,,,,
no_classification_feedback,黑天,3,0.9472222222222222,0.04110735718596871,0.04651735372450654,0.9262823835740502,0.04710967589976136,0.05330961676183996,0.9641188168494638,0.01753458939337549,0.019842255816533996,0.9371214820420851,0.04170514667927422,0.04719381621726873,0.9827956989247312,0.0,0.0,0.016129032258064502,0.0,0.0
no_cycle,逆光,3,0.990990990990991,0.015604061329449314,0.017657657657657623,0.9925925925925926,0.012830005981991638,0.014518518518518465,0.9953703703703703,0.008018753738744774,0.009074074074074042,0.9934156378600824,0.011404449761770359,0.012905349794238654,,,,,,
no_cycle,雨天,3,0.9871794871794872,0.02220577958421636,0.02512820512820511,0.9907407407407407,0.016037507477489613,0.018148148148148156,0.9888888888888889,0.01924500897298752,0.021777777777777774,0.9887766554433222,0.019439403003017677,0.021997755331088636,,,,,,
