run_dir,run,variant,domain,epochs,best_epoch,best_val_acc,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,best_train_dual_d_identity,best_train_acc_source_like,best_train_dual_d_cycle,best_train_dual_d_adv_primary,best_train_dual_d_contrastive,best_train_dual_d_adv_auxiliary,best_train_dual_d_generator_total,best_train_acc_target_like,best_train_dual_d_prototype_contrastive,best_train_dual_d_classification_feedback
runs/module_c_ablation/module_c_full_逆光_iter01_20260820_171121,module_c_full_逆光_iter01_20260820_171121,full,逆光,28,19.0,1.0,1.0,1.0,0.0,,0.24739010632038116,0.825,0.31601166129112246,0.4811127185821533,2.8686187267303467,0.6784414529800415,1.9559097290039062,0.81875,1.4767297744750976,2.195189666748047
runs/module_c_ablation/module_c_full_逆光_iter01_20260820_204237,module_c_full_逆光_iter01_20260820_204237,full,逆光,31,22.0,0.972972972972973,0.9775533108866442,0.9393939393939394,-0.03357903357903358,runs/module_c_ablation/module_c_full_逆光_iter01_20260820_204237/feature_embeddings.npz,0.24472256600856782,0.86875,0.3150872528553009,1.1111737728118896,2.9571964740753174,1.1188139200210572,2.0606311798095702,0.825,1.6232674598693848,2.2678199768066407
runs/module_c_ablation/module_c_full_逆光_iter02_20260820_171121,module_c_full_逆光_iter02_20260820_171121,full,逆光,26,17.0,0.972972972972973,0.9755799755799754,0.9166666666666666,-0.0563063063063064,,0.25087870955467223,0.7625,0.32039371132850647,1.1318645477294922,2.9789676666259766,0.42890082597732543,2.1541646003723143,0.775,1.563775610923767,2.46488242149353
runs/module_c_ablation/module_c_full_逆光_iter02_20260820_204237,module_c_full_逆光_iter02_20260820_204237,full,逆光,35,26.0,1.0,1.0,0.9924242424242424,-0.007575757575757569,runs/module_c_ablation/module_c_full_逆光_iter02_20260820_204237/feature_embeddings.npz,0.2413158029317856,0.9125,0.29642398953437804,0.8303303837776184,2.9077760219573974,1.4397525310516357,1.9448200702667235,0.8375,1.5053627490997314,2.1018605709075926
runs/module_c_ablation/module_c_full_逆光_iter03_20260820_171121,module_c_full_逆光_iter03_20260820_171121,full,逆光,31,22.0,1.0,1.0,0.9848484848484849,-0.015151515151515138,,0.24094962179660798,0.8625,0.3072817802429199,0.6942219734191895,2.9161744594573973,0.7871373534202576,1.9635333776474,0.8375,1.4994139432907105,2.1796141147613524
runs/module_c_ablation/module_c_full_逆光_iter03_20260820_204237,module_c_full_逆光_iter03_20260820_204237,full,逆光,43,34.0,1.0,1.0,1.0,0.0,runs/module_c_ablation/module_c_full_逆光_iter03_20260820_204237/feature_embeddings.npz,0.2313256472349167,0.9625,0.27842453122138977,0.6145591616630555,2.6353189945220947,0.5225253105163574,1.6763829469680787,0.89375,1.1525088548660278,1.8434446811676026
runs/module_c_ablation/module_c_full_雨天_iter01_20260820_171121,module_c_full_雨天_iter01_20260820_171121,full,雨天,41,32.0,0.9615384615384616,0.9703703703703704,0.9479166666666666,-0.013621794871794934,,0.23714317381381989,0.96875,0.2950463369488716,0.8419583886861801,2.8732047080993652,0.9047374576330185,1.6615325808525085,0.9453125,1.0953951179981232,1.7568769454956055
runs/module_c_ablation/module_c_full_雨天_iter01_20260820_204237,module_c_full_雨天_iter01_20260820_204237,full,雨天,51,42.0,1.0,1.0,0.9895833333333334,-0.01041666666666663,runs/module_c_ablation/module_c_full_雨天_iter01_20260820_204237/feature_embeddings.npz,0.224613968282938,0.9765625,0.2642251029610634,0.7369560450315475,2.74031800031662,0.4640824794769287,1.5516067743301392,0.9609375,0.9366505742073059,1.6735421419143677
runs/module_c_ablation/module_c_full_雨天_iter02_20260820_171121,module_c_full_雨天_iter02_20260820_171121,full,雨天,45,36.0,0.9615384615384616,0.9663299663299664,0.9895833333333334,0.028044871794871806,,0.2350338064134121,0.9765625,0.2779975160956383,0.7508616745471954,2.8338911533355713,0.9733189344406128,1.6365956366062164,0.9140625,1.0276018977165222,1.7428301572799683
runs/module_c_ablation/module_c_full_雨天_iter02_20260820_204237,module_c_full_雨天_iter02_20260820_204237,full,雨天,56,47.0,0.9615384615384616,0.9663299663299664,0.9375,-0.024038461538461564,runs/module_c_ablation/module_c_full_雨天_iter02_20260820_204237/feature_embeddings.npz,0.2355189472436905,0.9921875,0.27615412324666977,0.49844448268413544,2.7304985523223877,0.6783352941274643,1.5197065770626068,0.96875,0.9506368339061737,1.6166538894176483
runs/module_c_ablation/module_c_full_雨天_iter03_20260820_171121,module_c_full_雨天_iter03_20260820_171121,full,雨天,42,33.0,0.9615384615384616,0.9663299663299664,0.90625,-0.055288461538461564,,0.23471542075276375,0.96875,0.2906273379921913,0.6834617704153061,2.7788158655166626,0.6270615607500076,1.614912897348404,0.921875,0.9877961426973343,1.7378917038440704
runs/module_c_ablation/module_c_full_雨天_iter03_20260820_204237,module_c_full_雨天_iter03_20260820_204237,full,雨天,35,26.0,0.8461538461538461,0.8537943537943539,0.8645833333333334,0.018429487179487225,runs/module_c_ablation/module_c_full_雨天_iter03_20260820_204237/feature_embeddings.npz,0.23536301031708717,0.9296875,0.2972567677497864,1.0825833082199097,2.9748674035072327,1.024220660328865,1.7515175640583038,0.90625,1.229331523180008,1.8441901206970215
