epoch,train_loss,train_loss_cls,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_acc,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,lr_main,epoch_seconds
1,10.077999898365565,4.388849939618792,0.434380582932915,5.558835710797991,0.49837444509778706,0.328125,3.78590327501297,0.06666666666666667,0.02894736842105263,0.203125,0.04553184910327768,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0005,9.115336179733276
2,7.000095469611032,2.979220305170332,-0.0506013206073216,4.0360555819102695,0.6437003569943565,0.625,2.3995848298072815,0.2916666666666667,0.27365689865689863,0.30549001413927185,0.234030784030784,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.0005,8.174235820770264
3,5.649629320417132,2.448577352932521,-0.29935103920953615,3.2908573491232738,1.0986580678394862,0.78125,1.7986240684986115,0.5,0.3612641421816954,0.46329227506321885,0.35368237389792584,0.5,0.5,0.5,0.0005,8.250582456588745
4,4.854659591402326,2.1405616913522993,-0.40755129924842287,2.8363633155822754,1.1007158756256104,0.8504464285714286,1.3401315957307816,0.7166666666666667,0.7567708333333334,0.7817984143375183,0.6815704066168182,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.0005,8.01177191734314
5,4.666624648230417,2.0370470455714633,-0.4975646414927074,2.7788469280515398,0.8970643026488168,0.8549107142857143,1.466434821486473,0.6416666666666667,0.6807367614451546,0.7176381081802609,0.5985264227642276,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.0005,7.85496187210083
6,4.341322932924543,1.8548865573746818,-0.39281757920980453,2.604281646864755,0.8601393359048026,0.8861607142857143,1.6518446952104568,0.6,0.4706249246109927,0.5368377314625988,0.39842543077837195,0.6,0.6,0.6,0.0005,8.213092565536499
7,4.292644841330392,1.826021901198796,-0.249545049986669,2.5414863995143344,0.7210059421403068,0.8973214285714286,1.3113161772489548,0.7,0.6250400641025641,0.7472443714821764,0.6225219050690748,0.7,0.7,0.7,0.0005,7.645207405090332
8,4.248107331139701,1.7875906995364599,-0.004872788542083332,2.461978452546256,0.798215891633715,0.9084821428571429,1.7482104003429413,0.5833333333333334,0.7304955913651566,0.6712915928186342,0.5316493691493692,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0005,8.05414891242981
9,4.148811834199088,1.7416893669537135,-0.008120001958949226,2.4095584494727,0.7934433562414986,0.9174107142857143,1.4505820572376251,0.6083333333333333,0.5376488095238096,0.681135203387987,0.5477004932407745,0.6083333333333333,0.6083333333333333,0.6083333333333333,0.0005,8.403792142868042
10,3.9694340910230363,1.7141823598316737,-0.17344544482018268,2.307285411017282,0.7622015050479344,0.8973214285714286,2.139764577150345,0.4583333333333333,0.6065769717085506,0.6160881801125704,0.45159855235558005,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0005,7.888648986816406
11,3.972566604614258,1.6937135117394584,-0.12535017941679275,2.31645815713065,0.7485268201146807,0.9397321428571429,1.283438801765442,0.775,0.7666878382338909,0.7884553973333135,0.7078234581873821,0.775,0.775,0.775,0.0005,8.059271097183228
12,3.889257175581796,1.6478931563241142,0.01662829365315182,2.2363755192075456,0.7618203503744942,0.9397321428571429,1.2977547198534012,0.7416666666666667,0.7729358678955454,0.763412224043189,0.684791974712633,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.0005,7.8009679317474365
13,3.6847695112228394,1.531827015536172,0.09490318622972284,2.1244715452194214,0.74577397108078,0.9598214285714286,1.3839256912469864,0.6833333333333333,0.7277469758064516,0.746751343169026,0.6443301127851764,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.0005,8.241718053817749
14,3.579902103969029,1.529446738106864,-0.086460188696427,2.076393391404833,0.80592451776777,0.9441964285714286,1.4681796878576279,0.6916666666666667,0.7352941176470589,0.7480412118369435,0.6404467698319225,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.0005,7.588068008422852
