epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_adversarial_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,epoch_seconds
1,9.591828107833862,5.027635097503662,3.033750593662262,3.067514717578888,0.07505112327635288,4.541677832603455,0.0,33.72322654724121,0.0,0.0,0.1484375,0.1015625,0.1484375,0.1484375,0.0703125,0.0,0.0,0.0,4.541677832603455,0.3679499626159668,0.6287106275558472,0.34699156135320663,0.27174563705921173,3.4859363436698914,1.8022041618824005,6.324621200561523,2.940826416015625,0.23076923076923078,0.05882352941176471,0.125,0.08,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.9059910774230957,0.2692307692307692,0.16025641025641027,0.3125,0.1866537717601547,-0.1640625,0.08,7e-05,3.5e-05,0.5,21.77639651298523
2,7.856535792350769,4.173460960388184,2.4111111760139465,2.711307466030121,-0.037526411935687065,3.6943328976631165,0.0,28.811176776885986,0.0,0.0,0.1640625,0.2265625,0.1640625,0.2109375,0.1953125,0.0,0.0,0.0,3.6943328976631165,0.3889754042029381,0.6654800176620483,0.3470177426934242,0.2699698656797409,3.473669648170471,1.7917328476905823,5.022920370101929,2.5745797157287598,0.15384615384615385,0.16666666666666666,0.20833333333333334,0.1638888888888889,0.15384615384615385,0.15384615384615385,0.15384615384615385,2.5435330867767334,0.2692307692307692,0.29074074074074074,0.22916666666666666,0.1789550740214877,-0.018229166666666657,0.1638888888888889,7e-05,3.5e-05,0.5,21.446710109710693
3,7.227218151092529,3.776841163635254,2.297364056110382,2.276118516921997,0.008741695433855057,3.447754383087158,0.0,25.443830966949463,0.0,0.0,0.3203125,0.2890625,0.3203125,0.28125,0.2109375,0.0,0.0,0.0,3.447754383087158,0.31373243778944016,0.5768892392516136,0.3440476655960083,0.26831020414829254,3.453266978263855,1.7549635171890259,4.647925138473511,2.505363941192627,0.07692307692307693,0.041666666666666664,0.11666666666666665,0.06095238095238096,0.07692307692307693,0.07692307692307693,0.07692307692307693,2.4585883617401123,0.07692307692307693,0.07407407407407408,0.19791666666666666,0.13417508417508417,0.08333333333333334,0.06095238095238096,7e-05,3.5e-05,0.5,21.715467929840088
4,6.613948583602905,3.451731026172638,2.136591374874115,2.0232918560504913,0.06488718278706074,3.142751395702362,0.0,22.81292152404785,0.0,0.0,0.3828125,0.3671875,0.3828125,0.4453125,0.421875,0.0,0.0,0.0,3.142751395702362,0.388739176094532,0.7297595590353012,0.3406144827604294,0.26855824887752533,3.4456769824028015,1.7757533192634583,4.181256890296936,2.3980844020843506,0.23076923076923078,0.11363636363636365,0.3,0.16049382716049382,0.23076923076923078,0.23076923076923078,0.23076923076923078,2.288083076477051,0.19230769230769232,0.1336996336996337,0.22916666666666666,0.16161616161616163,0.21614583333333334,0.16049382716049382,7e-05,3.5e-05,0.5,20.634150505065918
5,5.977978587150574,3.1511070728302,1.9240554869174957,1.8877716958522797,0.05187608301639557,2.811308741569519,0.0,21.292836666107178,0.0,0.0,0.421875,0.421875,0.421875,0.421875,0.3359375,0.0,0.0,0.0,2.811308741569519,0.3420683667063713,0.6062038838863373,0.337856687605381,0.2670414671301842,3.414876639842987,1.730149120092392,3.6768437027931213,2.3665666580200195,0.2692307692307692,0.20454545454545456,0.2916666666666667,0.2006172839506173,0.2692307692307692,0.2692307692307692,0.2692307692307692,2.210538387298584,0.34615384615384615,0.29523809523809524,0.2916666666666667,0.25,0.13020833333333331,0.2006172839506173,7e-05,3.5e-05,0.5,22.354196548461914
6,5.680545926094055,3.013520359992981,1.8716069459915161,1.7567899525165558,0.05462578684091568,2.650637924671173,1.0026209354400635,20.443467140197754,2.168174982070923,0.05,0.5234375,0.4140625,0.5234375,0.484375,0.46875,1.0026209354400635,1.1110273003578186,0.894214540719986,2.650637924671173,0.3838749974966049,0.744807243347168,0.3360951617360115,0.26625214517116547,3.407359540462494,1.700383186340332,3.428593397140503,2.3684678077697754,0.34615384615384615,0.30833333333333335,0.375,0.2888888888888888,0.34615384615384615,0.34615384615384615,0.34615384615384615,2.2454833984375,0.34615384615384615,0.3002136752136752,0.2916666666666667,0.2498797498797499,0.19270833333333331,0.2888888888888888,7e-05,3.5e-05,0.5,21.21802568435669
7,5.2180012464523315,2.6495301723480225,1.5554016828536987,1.6832747161388397,-0.037385931238532066,2.5796868801116943,0.9701924026012421,18.804577827453613,1.9783143401145935,0.1,0.46875,0.546875,0.46875,0.515625,0.5859375,0.9701924026012421,1.1326957941055298,0.8076889514923096,2.5796868801116943,0.36573439836502075,0.5846020430326462,0.3342059850692749,0.26630518585443497,3.365514397621155,1.6551441848278046,3.3234275579452515,2.1349096298217773,0.34615384615384615,0.30833333333333335,0.375,0.2888888888888888,0.34615384615384615,0.34615384615384615,0.34615384615384615,2.0224478244781494,0.38461538461538464,0.34722222222222215,0.2916666666666667,0.2403650026838433,0.22395833333333331,0.2888888888888888,7e-05,3.5e-05,0.5,21.916106939315796
8,5.080995321273804,2.66848486661911,1.6387230157852173,1.5842490494251251,0.00860231276601553,2.409929871559143,0.905745267868042,18.061774253845215,1.9433753490447998,0.15,0.5703125,0.5859375,0.5703125,0.6484375,0.6484375,0.905745267868042,0.935130774974823,0.876359760761261,2.409929871559143,0.32868795469403267,0.6985896676778793,0.3315499797463417,0.26527997106313705,3.332098960876465,1.6197515726089478,3.064739763736725,2.0079798698425293,0.4230769230769231,0.3020833333333333,0.5,0.35714285714285715,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.8889966011047363,0.4230769230769231,0.372463768115942,0.3020833333333333,0.26139122315592905,0.3463541666666667,0.35714285714285715,7e-05,3.5e-05,0.5,21.0142080783844
9,4.8046265840530396,2.438825786113739,1.4827779233455658,1.4708429276943207,-0.010068787261843681,2.3688213229179382,0.8958641886711121,17.674232006072998,1.9596505165100098,0.2,0.6875,0.6640625,0.6875,0.6171875,0.578125,0.8958641886711121,0.9720231592655182,0.8197051584720612,2.3688213229179382,0.37619316577911377,0.6811354607343674,0.3308057337999344,0.2627064287662506,3.321618139743805,1.6228082478046417,3.0006567239761353,1.8417576551437378,0.4230769230769231,0.24470899470899474,0.5,0.32361673414304987,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.7278090715408325,0.4230769230769231,0.34962406015037595,0.4479166666666667,0.4101709890668701,0.16927083333333331,0.32361673414304987,7e-05,3.5e-05,0.5,20.341989755630493
10,4.6963043212890625,2.387961208820343,1.5445594489574432,1.297541230916977,-0.0390881784260273,2.3200697898864746,0.8742856979370117,17.558022499084473,1.8913385272026062,0.25,0.7421875,0.65625,0.7421875,0.6328125,0.6796875,0.8742856979370117,1.0051966905593872,0.7433747351169586,2.3200697898864746,0.38547055423259735,0.7115497142076492,0.3293626084923744,0.26255543529987335,3.309782922267914,1.580088347196579,2.924475371837616,1.7242169380187988,0.4230769230769231,0.373015873015873,0.5,0.3333333333333333,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.5925443172454834,0.46153846153846156,0.48535353535353537,0.4375,0.4207216363013464,0.1953125,0.3333333333333333,7e-05,3.5e-05,0.5,21.219416856765747
