2026-08-30 22:46:12 | Epoch 012/060 | loss 3.8727 | cls 2.7773 | tal -0.0963 | dual_g 1.1243 | dual_d 0.8920 | train_acc 0.7083 | train_full n/a | val_acc 0.5385 | val_f1 0.5704 | adv/moduleC 0.20/0.58 | disc_steps 3 | grad(main/disc) 21.598/2.297 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-30 22:46:13 | Epoch 013/060 | loss 3.8636 | cls 2.6631 | tal -0.0945 | dual_g 1.2289 | dual_d 0.8672 | train_acc 0.7708 | train_full n/a | val_acc 0.5385 | val_f1 0.5060 | adv/moduleC 0.25/0.67 | disc_steps 3 | grad(main/disc) 20.664/2.285 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 22:46:14 | Epoch 014/060 | loss 3.7345 | cls 2.4526 | tal -0.1797 | dual_g 1.3358 | dual_d 0.8355 | train_acc 0.7188 | train_full n/a | val_acc 0.3846 | val_f1 0.3638 | adv/moduleC 0.30/0.75 | disc_steps 3 | grad(main/disc) 19.683/2.254 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-30 22:46:17 | Epoch 015/060 | loss 3.9846 | cls 2.6018 | tal -0.1738 | dual_g 1.4350 | dual_d 0.7620 | train_acc 0.7917 | train_full 0.7188 | val_acc 0.5769 | val_f1 0.6106 | adv/moduleC 0.35/0.83 | disc_steps 3 | grad(main/disc) 22.290/2.069 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.4/0.4/0.4s | 2.1s
2026-08-30 22:46:18 | Epoch 016/060 | loss 4.0954 | cls 2.5495 | tal -0.1841 | dual_g 1.6011 | dual_d 0.8619 | train_acc 0.7604 | train_full n/a | val_acc 0.6538 | val_f1 0.6794 | adv/moduleC 0.40/0.92 | disc_steps 3 | grad(main/disc) 23.660/2.234 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.0/0.0s | 1.2s
2026-08-30 22:46:19 | Epoch 017/060 | loss 4.1621 | cls 2.5449 | tal -0.1396 | dual_g 1.6591 | dual_d 0.8543 | train_acc 0.6979 | train_full n/a | val_acc 0.8077 | val_f1 0.8320 | adv/moduleC 0.45/1.00 | disc_steps 3 | grad(main/disc) 23.014/2.285 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-30 22:46:20 | Epoch 018/060 | loss 3.5923 | cls 2.0546 | tal -0.0366 | dual_g 1.5487 | dual_d 0.8068 | train_acc 0.8854 | train_full n/a | val_acc 0.8077 | val_f1 0.8527 | adv/moduleC 0.50/1.00 | disc_steps 3 | grad(main/disc) 18.028/2.234 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
2026-08-30 22:46:21 | Epoch 019/060 | loss 3.9891 | cls 2.3612 | tal -0.0362 | dual_g 1.6388 | dual_d 0.8094 | train_acc 0.8125 | train_full n/a | val_acc 0.7308 | val_f1 0.7648 | adv/moduleC 0.55/1.00 | disc_steps 3 | grad(main/disc) 22.126/2.203 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 22:46:23 | Epoch 020/060 | loss 3.7961 | cls 2.2590 | tal -0.0632 | dual_g 1.5560 | dual_d 0.8422 | train_acc 0.8125 | train_full 0.8750 | val_acc 0.8462 | val_f1 0.8819 | adv/moduleC 0.60/1.00 | disc_steps 3 | grad(main/disc) 21.919/2.241 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.4/0.4/0.4s | 2.0s
2026-08-30 22:46:24 | Epoch 021/060 | loss 3.6331 | cls 2.1377 | tal -0.1281 | dual_g 1.5339 | dual_d 0.7992 | train_acc 0.9271 | train_full n/a | val_acc 0.7308 | val_f1 0.7896 | adv/moduleC 0.65/1.00 | disc_steps 3 | grad(main/disc) 19.958/2.046 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.7/0.4/0.0/0.0s | 1.1s
