2026-08-30 20:37:21 | Epoch 012/060 | loss 2.1331 | cls 1.4511 | tal -0.0346 | dual_g 0.6924 | dual_d 0.7947 | train_acc 0.9396 | train_full n/a | val_acc 0.9250 | val_f1 0.8836 | adv/moduleC 0.25/0.58 | disc_steps 15 | grad(main/disc) 12.783/1.869 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.3/0.0/0.0s | 3.0s
2026-08-30 20:37:24 | Epoch 013/060 | loss 2.1414 | cls 1.3824 | tal -0.0502 | dual_g 0.7741 | dual_d 0.7709 | train_acc 0.9333 | train_full n/a | val_acc 0.9583 | val_f1 0.9407 | adv/moduleC 0.30/0.67 | disc_steps 15 | grad(main/disc) 11.454/1.816 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.8/0.4/0.0/0.0s | 3.1s
2026-08-30 20:37:27 | Epoch 014/060 | loss 2.2237 | cls 1.3812 | tal 0.0289 | dual_g 0.8338 | dual_d 0.7937 | train_acc 0.9521 | train_full n/a | val_acc 0.9750 | val_f1 0.9683 | adv/moduleC 0.35/0.75 | disc_steps 15 | grad(main/disc) 11.869/1.850 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.0s
2026-08-30 20:37:31 | Epoch 015/060 | loss 2.2146 | cls 1.3178 | tal 0.0208 | dual_g 0.8905 | dual_d 0.7789 | train_acc 0.9708 | train_full 0.9849 | val_acc 0.9583 | val_f1 0.9353 | adv/moduleC 0.40/0.83 | disc_steps 15 | grad(main/disc) 10.111/1.766 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.8/0.3/0.4/0.6s | 4.1s
2026-08-30 20:37:34 | Epoch 016/060 | loss 2.3588 | cls 1.3457 | tal 0.0384 | dual_g 1.0016 | dual_d 0.7975 | train_acc 0.9667 | train_full n/a | val_acc 0.9750 | val_f1 0.9464 | adv/moduleC 0.45/0.92 | disc_steps 15 | grad(main/disc) 11.695/1.820 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 2.9s
2026-08-30 20:37:37 | Epoch 017/060 | loss 2.3368 | cls 1.3038 | tal -0.0687 | dual_g 1.0535 | dual_d 0.8075 | train_acc 0.9729 | train_full n/a | val_acc 0.9750 | val_f1 0.9669 | adv/moduleC 0.50/1.00 | disc_steps 15 | grad(main/disc) 10.355/1.807 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.3/0.0/0.0s | 3.1s
2026-08-30 20:37:41 | Epoch 018/060 | loss 2.2470 | cls 1.2619 | tal -0.0572 | dual_g 1.0023 | dual_d 0.8036 | train_acc 0.9812 | train_full n/a | val_acc 0.9750 | val_f1 0.9554 | adv/moduleC 0.55/1.00 | disc_steps 15 | grad(main/disc) 7.792/1.797 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.9/0.4/0.0/0.0s | 3.3s
2026-08-30 20:37:44 | Epoch 019/060 | loss 2.2545 | cls 1.2565 | tal -0.0387 | dual_g 1.0096 | dual_d 0.8692 | train_acc 0.9896 | train_full n/a | val_acc 0.9833 | val_f1 0.9757 | adv/moduleC 0.60/1.00 | disc_steps 15 | grad(main/disc) 8.028/1.876 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.3/0.0/0.0s | 3.0s
2026-08-30 20:37:48 | Epoch 020/060 | loss 2.2236 | cls 1.2474 | tal -0.0693 | dual_g 0.9970 | dual_d 0.9052 | train_acc 0.9812 | train_full 0.9892 | val_acc 0.9750 | val_f1 0.9504 | adv/moduleC 0.65/1.00 | disc_steps 15 | grad(main/disc) 8.459/1.857 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.8/0.4/0.4/0.6s | 4.2s
2026-08-30 20:37:51 | Epoch 021/060 | loss 2.2331 | cls 1.2530 | tal -0.0771 | dual_g 1.0032 | dual_d 0.9061 | train_acc 0.9875 | train_full n/a | val_acc 0.9833 | val_f1 0.9757 | adv/moduleC 0.70/1.00 | disc_steps 15 | grad(main/disc) 8.192/1.867 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 20:37:54 | Epoch 022/060 | loss 2.1782 | cls 1.2337 | tal -0.1158 | dual_g 0.9792 | dual_d 0.9651 | train_acc 0.9917 | train_full n/a | val_acc 0.9750 | val_f1 0.9638 | adv/moduleC 0.75/1.00 | disc_steps 15 | grad(main/disc) 7.346/1.930 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.0s
2026-08-30 20:37:57 | Epoch 023/060 | loss 2.1526 | cls 1.2237 | tal -0.1356 | dual_g 0.9696 | dual_d 0.9671 | train_acc 0.9792 | train_full n/a | val_acc 0.9917 | val_f1 0.9827 | adv/moduleC 0.80/1.00 | disc_steps 15 | grad(main/disc) 6.917/1.893 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.3/0.0/0.0s | 2.8s
2026-08-30 20:38:00 | Epoch 024/060 | loss 2.1472 | cls 1.2256 | tal -0.1619 | dual_g 0.9701 | dual_d 1.0335 | train_acc 0.9896 | train_full n/a | val_acc 0.9833 | val_f1 0.9757 | adv/moduleC 0.85/1.00 | disc_steps 15 | grad(main/disc) 7.714/1.966 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.1s
2026-08-30 20:38:04 | Epoch 025/060 | loss 2.1406 | cls 1.2117 | tal -0.1192 | dual_g 0.9646 | dual_d 1.0123 | train_acc 0.9979 | train_full 0.9978 | val_acc 0.9833 | val_f1 0.9847 | adv/moduleC 0.90/1.00 | disc_steps 15 | grad(main/disc) 6.547/1.897 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.4/0.6s | 4.0s
2026-08-30 20:38:07 | Epoch 026/060 | loss 2.1019 | cls 1.1997 | tal -0.1515 | dual_g 0.9477 | dual_d 1.0446 | train_acc 0.9938 | train_full n/a | val_acc 0.9833 | val_f1 0.9847 | adv/moduleC 0.95/1.00 | disc_steps 15 | grad(main/disc) 6.029/1.963 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.3/0.0/0.0s | 3.0s
2026-08-30 20:38:10 | Epoch 027/060 | loss 2.0987 | cls 1.2055 | tal -0.1713 | dual_g 0.9447 | dual_d 1.0209 | train_acc 0.9958 | train_full n/a | val_acc 0.9833 | val_f1 0.9757 | adv/moduleC 1.00/1.00 | disc_steps 15 | grad(main/disc) 6.058/1.941 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 2.9s
2026-08-30 20:38:13 | Epoch 028/060 | loss 2.0868 | cls 1.1797 | tal -0.1447 | dual_g 0.9505 | dual_d 1.0155 | train_acc 0.9958 | train_full n/a | val_acc 0.9750 | val_f1 0.9638 | adv/moduleC 1.00/1.00 | disc_steps 15 | grad(main/disc) 5.155/1.898 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.0s
