run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_generator_total,best_train_dual_d_adv_auxiliary,best_train_acc_source_like,best_train_dual_d_classification_feedback,best_train_acc_target_like,best_train_dual_d_prototype_contrastive,best_train_dual_d_adv_primary,best_train_dual_d_contrastive,best_train_dual_d_identity,best_train_dual_d_cycle
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_雨天_20260830_033814,module_c_no_paired_contrastive_雨天_20260830_033814/metrics_iter03,no_paired_contrastive,雨天,3,50,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_雨天_20260830_033814/metrics_iter03.csv,47,35.0,1.0,1.0,1.0,1.0,0.9895833333333334,-0.01041666666666663,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_雨天_20260830_033814/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_雨天_20260830_033814/result_summary_iter03.json,0.9358485440413157,0.6183201173941294,0.9791666666666666,1.3922940889994304,0.96875,1.0419889291127522,0.8505728443463644,1.033941775560379,0.2260216772556305,0.2848666210969289
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814,module_c_no_paired_contrastive_黑天_20260830_033814/metrics_iter01,no_paired_contrastive,黑天,1,42,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814/metrics_iter01.csv,50,22.0,0.9916666666666667,0.9791666666666667,0.9886363636363636,0.9826839826839827,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814/result_summary_iter01.json,0.6359254101912181,0.3896250069141388,0.9979166666666667,0.878403244415919,0.9958333333333333,0.7174778739611308,0.34723928024371464,0.6710555553436279,0.17490359842777253,0.20193479011456172
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814,module_c_no_paired_contrastive_黑天_20260830_033814/metrics_iter02,no_paired_contrastive,黑天,2,43,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814/metrics_iter02.csv,50,31.0,0.9916666666666667,0.9791666666666667,0.9886363636363636,0.9826839826839827,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814/result_summary_iter02.json,0.6075164457162221,0.33627468595902127,1.0,0.8453057607014974,0.9979166666666667,0.5694200386603673,0.5163526922464371,0.5132172107696533,0.15779056598742802,0.15476477146148682
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814,module_c_no_paired_contrastive_黑天_20260830_033814/metrics_iter03,no_paired_contrastive,黑天,3,44,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814/metrics_iter03.csv,57,42.0,0.9916666666666667,0.9953703703703703,0.9886363636363636,0.9916891284815813,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_paired_contrastive_黑天_20260830_033814/result_summary_iter03.json,0.581699808438619,0.5612176030874252,0.9979166666666667,0.8066586196422577,0.9979166666666667,0.48311246037483213,0.5148733993371327,0.4568604250748952,0.1358997250596682,0.12495120664437612
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925,module_c_no_prototype_contrastive_逆光_20260830_035925/metrics_iter01,no_prototype_contrastive,逆光,1,45,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925/metrics_iter01.csv,40,28.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925/result_summary_iter01.json,0.43836709856987,0.7251383993360732,0.8333333333333334,2.1294824282328286,0.8194444444444444,1.593633559015062,0.7066819535361396,1.3626237842771742,0.2136210882001453,0.24207289516925812
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925,module_c_no_prototype_contrastive_逆光_20260830_035925/metrics_iter02,no_prototype_contrastive,逆光,2,46,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925/metrics_iter02.csv,44,32.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925/result_summary_iter02.json,0.36917319231563145,0.7597097257773081,0.9236111111111112,1.689052144686381,0.875,1.4792343642976549,0.6329044567214118,1.2958281172646418,0.22378757264879015,0.24110329978995854
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925,module_c_no_prototype_contrastive_逆光_20260830_035925/metrics_iter03,no_prototype_contrastive,逆光,3,47,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925/metrics_iter03.csv,46,34.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_逆光_20260830_035925/result_summary_iter03.json,0.3577081759770711,0.49966542919476825,0.9513888888888888,1.68061191505856,0.9166666666666666,1.362797220547994,0.5942313472429911,1.2507758140563965,0.2121739668978585,0.2343882355425093
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925,module_c_no_prototype_contrastive_雨天_20260830_035925/metrics_iter01,no_prototype_contrastive,雨天,1,48,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925/metrics_iter01.csv,48,36.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925/result_summary_iter01.json,0.9636250833670298,0.8566777110099792,1.0,1.4324893752733867,0.9375,1.06168336669604,1.0758608778317769,0.9869858225186666,0.23254419366518655,0.2916033019622167
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925,module_c_no_prototype_contrastive_雨天_20260830_035925/metrics_iter02,no_prototype_contrastive,雨天,2,49,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925/metrics_iter02.csv,42,30.0,1.0,1.0,1.0,1.0,0.9479166666666666,-0.05208333333333337,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925/result_summary_iter02.json,1.0314347545305889,0.8563566505908966,0.9791666666666666,1.5517662167549133,0.9583333333333334,1.1214464902877808,0.7361257970333099,1.07183704773585,0.23760131001472473,0.29824474453926086
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925,module_c_no_prototype_contrastive_雨天_20260830_035925/metrics_iter03,no_prototype_contrastive,雨天,3,50,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925/metrics_iter03.csv,56,44.0,1.0,1.0,1.0,1.0,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_雨天_20260830_035925/result_summary_iter03.json,0.9332787990570068,0.5895646810531616,0.9791666666666666,1.4124210874239604,0.9583333333333334,1.0508639017740886,0.6406286954879761,0.9224232037862142,0.22147560367981592,0.2718730568885803
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925,module_c_no_prototype_contrastive_黑天_20260830_035925/metrics_iter01,no_prototype_contrastive,黑天,1,42,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925/metrics_iter01.csv,57,42.0,0.9916666666666667,0.9791666666666667,0.9886363636363636,0.9826839826839827,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925/feature_embeddings_iter01.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925/result_summary_iter01.json,0.5837852577368419,0.41863943537076315,1.0,0.8073460539182027,1.0,0.36748675505320233,0.4037173668543498,0.33575697938601173,0.14057737489541372,0.13725293874740602
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925,module_c_no_prototype_contrastive_黑天_20260830_035925/metrics_iter02,no_prototype_contrastive,黑天,2,43,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925/metrics_iter02.csv,50,29.0,0.9916666666666667,0.9791666666666667,0.9886363636363636,0.9826839826839827,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925/feature_embeddings_iter02.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925/result_summary_iter02.json,0.6158060610294342,0.3568458318710327,0.9979166666666667,0.8412707527478536,1.0,0.4533220926920573,0.49871291120847067,0.43799349864323933,0.16016706377267836,0.16247764974832535
runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925,module_c_no_prototype_contrastive_黑天_20260830_035925/metrics_iter03,no_prototype_contrastive,黑天,3,44,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925/metrics_iter03.csv,53,38.0,0.9916666666666667,0.9953703703703703,0.9886363636363636,0.9916891284815813,,,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925/feature_embeddings_iter03.npz,runs/module_c_ablation_60_v9/module_c_20260830_023711/module_c_no_prototype_contrastive_黑天_20260830_035925/result_summary_iter03.json,0.6039020438989003,0.5264180878798167,1.0,0.8230712016423544,1.0,0.4576412131388982,0.5183140416940053,0.408249361316363,0.1436162292957306,0.1395279382665952
