run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_prototype_contrastive,best_train_dual_d_identity,best_train_dual_d_adv_primary,best_train_dual_d_cycle,best_train_dual_d_generator_total,best_train_acc_target_like,best_train_acc_source_like,best_train_dual_d_contrastive,best_train_dual_d_classification_feedback,best_train_dual_d_adv_auxiliary
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304,module_c_no_classification_feedback_雨天_20260828_222304/metrics_iter01,no_classification_feedback,雨天,1,48,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304\metrics_iter01.csv,60,57.0,0.7307692307692307,0.8174603174603173,0.7916666666666666,0.7343073593073592,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304\result_summary_iter01.json,1.037760853767395,0.2481466457247734,0.7173158526420593,0.19541329890489578,0.18085435777902603,0.967391304347826,0.9891304347826086,1.0969648361206055,1.7549376487731934,0.5127040147781372
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304,module_c_no_classification_feedback_雨天_20260828_222304/metrics_iter02,no_classification_feedback,雨天,2,49,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304\metrics_iter02.csv,60,57.0,0.7307692307692307,0.8148148148148148,0.8416666666666667,0.7671957671957673,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304\result_summary_iter02.json,1.0051842331886292,0.2516842186450958,0.39076413214206696,0.1773625910282135,0.16172145307064056,0.9347826086956522,0.9836956521739131,1.05035400390625,1.7550000548362732,0.4583856910467148
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304,module_c_no_classification_feedback_雨天_20260828_222304/metrics_iter03,no_classification_feedback,雨天,3,50,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304\metrics_iter03.csv,59,44.0,0.6153846153846154,0.7410714285714285,0.7541666666666665,0.6610981610981611,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_雨天_20260828_222304\result_summary_iter03.json,1.2234631180763245,0.23834246397018433,0.6654198467731476,0.216826394200325,0.19472777843475342,0.907608695652174,0.9565217391304348,1.245394229888916,1.9252445697784424,0.40706925094127655
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304,module_c_no_classification_feedback_黑天_20260828_222304/metrics_iter01,no_classification_feedback,黑天,1,42,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\metrics_iter01.csv,60,60.0,0.9416666666666667,0.8873626373626373,0.9460512313773184,0.906514684146263,0.9634408602150538,0.021774193548387166,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\result_summary_iter01.json,0.6310164332389832,0.33410415053367615,0.23763917634884515,0.10122750699520111,0.13567402958869934,0.9855072463768116,0.9836956521739131,0.7774450580279032,1.5831257700920105,0.26571036378542584
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304,module_c_no_classification_feedback_黑天_20260828_222304/metrics_iter02,no_classification_feedback,黑天,2,43,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\metrics_iter02.csv,48,26.0,0.8666666666666667,0.8269986544986546,0.9133354715274121,0.8553860089186176,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\result_summary_iter02.json,1.066090981165568,0.29857828219731647,0.46782424052556354,0.13372228294610977,0.1935594081878662,0.9420289855072463,0.947463768115942,1.1578986247380574,1.7634610732396443,0.26240332672993344
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304,module_c_no_classification_feedback_黑天_20260828_222304/metrics_iter03,no_classification_feedback,黑天,3,44,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\metrics_iter03.csv,60,49.0,0.95,0.9369263285024155,0.9591737795608422,0.9455152689702868,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_classification_feedback_黑天_20260828_222304\result_summary_iter03.json,0.6972976624965668,0.3525550663471222,0.3282840649286906,0.09585216268897057,0.1467470427354177,0.9891304347826086,0.9855072463768116,0.8339096705118815,1.6375233729680378,0.33606887857119244
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248,module_c_no_cycle_逆光_20260828_195248/metrics_iter01,no_cycle,逆光,1,45,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\metrics_iter01.csv,60,54.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\result_summary_iter01.json,1.4572086334228516,0.2594391703605652,0.8223879039287567,0.35842277109622955,1.0738664865493774,0.8532608695652174,0.9130434782608695,1.4946718215942383,2.1865140199661255,0.8832715451717377
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248,module_c_no_cycle_逆光_20260828_195248/metrics_iter02,no_cycle,逆光,2,46,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\metrics_iter02.csv,43,28.0,0.918918918918919,0.9341269841269842,0.9398148148148149,0.9298528631861964,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\result_summary_iter02.json,1.7596991062164307,0.2596454620361328,1.0326276421546936,0.34796951711177826,1.40891695022583,0.7119565217391305,0.6902173913043478,1.735221028327942,2.878603219985962,1.5274652242660522
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248,module_c_no_cycle_逆光_20260828_195248/metrics_iter03,no_cycle,逆光,3,47,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\metrics_iter03.csv,60,52.0,0.972972972972973,0.9777777777777779,0.9814814814814815,0.9775533108866442,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_逆光_20260828_195248\result_summary_iter03.json,1.424432635307312,0.2557649165391922,0.7109962999820709,0.34889450669288635,1.0993735194206238,0.8913043478260869,0.8695652173913043,1.4828453063964844,2.2768783569335938,0.6446222960948944
runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248,module_c_no_cycle_雨天_20260828_195248/metrics_iter01,no_cycle,雨天,1,48,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248\metrics_iter01.csv,60,47.0,0.9615384615384616,0.9666666666666667,0.9791666666666666,0.9703703703703704,,,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v6\module_c_20260828_191630\module_c_no_cycle_雨天_20260828_195248\result_summary_iter01.json,0.9071875810623169,0.24775955080986023,1.0063295662403107,0.33710557222366333,1.2002617716789246,0.9456521739130435,0.9945652173913043,0.9703585505485535,1.653746485710144,0.5202637612819672
