run,variant,domain,iteration,seed,target_raw_silhouette,target_translated_silhouette,target_silhouette_gain,source_target_raw_class_centroid_distance,source_target_translated_class_centroid_distance,class_centroid_alignment_gain,source_target_raw_coral,source_target_translated_coral,coral_alignment_gain,source_target_raw_prototype_diagonal,source_target_translated_prototype_diagonal,prototype_diagonal_gain,source_target_raw_prototype_margin,source_target_translated_prototype_margin,prototype_margin_gain,source_target_raw_prototype_top1,source_target_translated_prototype_top1,prototype_top1_gain,source_cycle_cosine_error,target_cycle_cosine_error,cycle_cosine_error,source_identity_cosine_error,target_identity_cosine_error,identity_cosine_error
module_c_full_逆光_20260828_191632/metrics_iter01,full,逆光,1,45,0.2740380186583783,0.2768479332367957,0.002809914578417394,0.7977851819660928,0.8051362935867574,-0.0073511116206645966,0.0016500523746353097,0.0017246665888102674,-7.461421417495769e-05,0.20221483707427979,0.1948637217283249,-0.007351115345954895,0.06748917698860168,0.06910905241966248,0.001619875431060791,0.7777777777777778,0.7777777777777778,0.0,0.046092272216508356,0.04696152010033478,0.046526896158421566,0.03125450271490521,0.02783712997884177,0.02954581634687349
module_c_full_逆光_20260828_191632/metrics_iter02,full,逆光,2,46,0.26098339222153466,0.25773436842512537,-0.0032490237964092894,0.8569720569584105,0.8526523601677682,0.004319696790642258,0.002071915363556627,0.002164774846202806,-9.285948264617892e-05,0.14302794635295868,0.14734764397144318,0.004319697618484497,0.019546760246157646,0.020694829523563385,0.0011480692774057388,0.5555555555555556,0.6666666666666666,0.11111111111111105,0.044147861306339575,0.04484518568747706,0.044496523496908316,0.027675448872133076,0.027558123035611077,0.027616785953872076
module_c_full_逆光_20260828_191632/metrics_iter03,full,逆光,3,47,0.2963075363224907,0.3007813931969672,0.0044738568744764895,0.7948306012484763,0.7937809460692935,0.0010496551791827624,0.0020436565187226183,0.0021241546543379125,-8.04981356152942e-05,0.2051694095134735,0.20621904730796814,0.001049637794494629,0.027928583323955536,0.03827536106109619,0.010346777737140656,0.5555555555555556,0.6666666666666666,0.11111111111111105,0.04768421157833232,0.04659724189791232,0.04714072673812232,0.02812306560097104,0.027838812147665003,0.02798093887431802
module_c_full_雨天_20260828_191632/metrics_iter01,full,雨天,1,48,0.459673856840624,0.472208001047553,0.012534144206928999,0.8378016650676727,0.8412070249517759,-0.0034053598841031762,0.0028808627107966413,0.002996579520704274,-0.0001157168099076328,0.16219834983348846,0.15879295766353607,-0.0034053921699523926,0.056744664907455444,0.06360049545764923,0.006855830550193787,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0.03806248830003707,0.054059299082780905,0.04606089369140899,0.02850555096335026,0.03783925527148642,0.03317240311741834
module_c_full_雨天_20260828_191632/metrics_iter02,full,雨天,2,49,0.3362846631714978,0.35227006303044656,0.015985399858948757,0.7812643696864446,0.7947453583280245,-0.013480988641579872,0.0035264901044393974,0.0035461669003841547,-1.9676795944757308e-05,0.21873565018177032,0.20525462925434113,-0.0134810209274292,0.01056844275444746,0.018912753090262413,0.008344310335814953,0.5,0.5,0.0,0.045963903932239925,0.06432844534363516,0.05514617463793754,0.026576133789588376,0.03380158910702647,0.030188861448307423
module_c_full_雨天_20260828_191632/metrics_iter03,full,雨天,3,50,0.30173778285351877,0.30600333586689293,0.004265553013374168,0.891808153440555,0.8800384290516376,0.011769724388917324,0.0023447896325461477,0.002494150693412483,-0.00014936106086633517,0.10819185525178909,0.11996155232191086,0.011769697070121765,-0.019546957686543465,-0.0154893072322011,0.004057650454342365,0.3333333333333333,0.3333333333333333,0.0,0.04363594260032227,0.06457280088410378,0.054104371742213025,0.024724302095255443,0.03574086766858509,0.030232584881920266
module_c_full_黑天_20260828_191632/metrics_iter01,full,黑天,1,42,0.27635957364141606,0.29056033868881365,0.01420076504739759,0.7199367694556713,0.690085357055068,0.029851412400603294,0.0009899502118193822,0.0010290539573548105,-3.910374553542828e-05,0.2800632119178772,0.30991461873054504,0.029851406812667847,0.1496777981519699,0.16041168570518494,0.010733887553215027,1.0,1.0,0.0,0.033338296924886615,0.04004377052311887,0.036691033724002745,0.028998782427850395,0.035366343319992014,0.032182562873921204
module_c_full_黑天_20260828_191632/metrics_iter02,full,黑天,2,43,0.3096944117520499,0.32155714230444016,0.011862730552390233,0.6097839362919331,0.6044897213578224,0.0052942149341106415,0.0008117463085232213,0.0008468247199695277,-3.5078411446306406e-05,0.39021605253219604,0.3955102860927582,0.005294233560562134,0.2250366061925888,0.2398073375225067,0.014770731329917908,1.0,1.0,0.0,0.02509613301468007,0.028205504500605348,0.02665081875764271,0.030573042582432222,0.03803257866067599,0.0343028106215541
module_c_full_黑天_20260828_191632/metrics_iter03,full,黑天,3,44,0.3480339165497778,0.36303722727218607,0.015003310722408292,0.6577926352620125,0.6441515926271677,0.01364104263484478,0.0012049013342125747,0.0012232577968467916,-1.835646263421693e-05,0.3422073721885681,0.35584843158721924,0.013641059398651123,0.1850525587797165,0.2007545530796051,0.01570199429988861,1.0,1.0,0.0,0.021000512978020094,0.038916149182986755,0.029958331080503425,0.025490854548608624,0.04019973192234465,0.032845293235476636
module_c_no_classification_feedback_逆光_20260828_222304/metrics_iter01,no_classification_feedback,逆光,1,45,0.26727259496850214,0.26086983759015586,-0.00640275737834628,0.8037691828277376,0.8144387060569392,-0.010669523229201672,0.0015445208172929334,0.0015503999796205661,-5.879162327632756e-06,0.19623082876205444,0.18556131422519684,-0.010669514536857605,0.06771057844161987,0.06101495772600174,-0.0066956207156181335,0.8888888888888888,0.8888888888888888,0.0,0.017630865392953943,0.018684747691126793,0.01815780654204037,0.03184952080025731,0.032554659465748724,0.032202090133003014
